sample_key,property_step10,temperature_K_rounded,value_raw_median,value_raw_mean,value_raw_std,value_raw_min,value_raw_max,source_point_count_step10,source_curve_count_step10,curve_ids_step10,units_y_step10
10.1002_aenm.201200083__sample_318,Electrical conductivity,458.942,59786.48,59786.48,0.0,59786.48,59786.48,2,1,10.1002_aenm.201200083__sample_318__figure_166__prop_Electrical_conductivity__sid_110__row_561,ohm^(-1)*m^(-1)
10.1002_aenm.201400348__sample_13678,Seebeck coefficient,365.08,7.15744e-05,7.15744e-05,5.8795080327524006e-05,3e-05,0.0001131488,2,2,10.1002_aenm.201400348__sample_13678__figure_11423__prop_Seebeck_coefficient__sid_118__row_44239;10.1002_aenm.201400348__sample_13678__figure_11424__prop_Seebeck_coefficient__sid_118__row_44241,V*K^(-1)
10.1002_aenm.201500411__sample_1411,Thermal conductivity,299.0,1.058,1.058,0.5402295808265223,0.676,1.44,2,2,10.1002_aenm.201500411__sample_1411__figure_824__prop_Thermal_conductivity__sid_121__row_112265;10.1002_aenm.201500411__sample_1411__figure_825__prop_Thermal_conductivity__sid_121__row_3077,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1411,Thermal conductivity,328.0,1.0375,1.0375,0.526794551983978,0.665,1.41,2,2,10.1002_aenm.201500411__sample_1411__figure_824__prop_Thermal_conductivity__sid_121__row_112265;10.1002_aenm.201500411__sample_1411__figure_825__prop_Thermal_conductivity__sid_121__row_3077,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1411,Thermal conductivity,372.0,1.083,1.083,0.5755849198858496,0.676,1.49,2,2,10.1002_aenm.201500411__sample_1411__figure_824__prop_Thermal_conductivity__sid_121__row_112265;10.1002_aenm.201500411__sample_1411__figure_825__prop_Thermal_conductivity__sid_121__row_3077,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1411,Thermal conductivity,474.0,1.508,1.508,0.8372144289248723,0.916,2.1,2,2,10.1002_aenm.201500411__sample_1411__figure_824__prop_Thermal_conductivity__sid_121__row_112265;10.1002_aenm.201500411__sample_1411__figure_825__prop_Thermal_conductivity__sid_121__row_3077,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1412,Thermal conductivity,299.0,1.0,1.0,0.31112698372208086,0.78,1.22,2,2,10.1002_aenm.201500411__sample_1412__figure_824__prop_Thermal_conductivity__sid_121__row_112266;10.1002_aenm.201500411__sample_1412__figure_825__prop_Thermal_conductivity__sid_121__row_3078,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1412,Thermal conductivity,372.0,1.008,1.008,0.2998132752230961,0.796,1.22,2,2,10.1002_aenm.201500411__sample_1412__figure_824__prop_Thermal_conductivity__sid_121__row_112266;10.1002_aenm.201500411__sample_1412__figure_825__prop_Thermal_conductivity__sid_121__row_3078,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1412,Thermal conductivity,474.0,1.335,1.335,0.40305086527633205,1.05,1.62,2,2,10.1002_aenm.201500411__sample_1412__figure_824__prop_Thermal_conductivity__sid_121__row_112266;10.1002_aenm.201500411__sample_1412__figure_825__prop_Thermal_conductivity__sid_121__row_3078,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1413,Thermal conductivity,299.0,1.0585,1.0585,0.10111626970967627,0.987,1.13,2,2,10.1002_aenm.201500411__sample_1413__figure_824__prop_Thermal_conductivity__sid_121__row_112267;10.1002_aenm.201500411__sample_1413__figure_825__prop_Thermal_conductivity__sid_121__row_3079,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1413,Thermal conductivity,372.0,1.03,1.03,0.09899494936611673,0.96,1.1,2,2,10.1002_aenm.201500411__sample_1413__figure_824__prop_Thermal_conductivity__sid_121__row_112267;10.1002_aenm.201500411__sample_1413__figure_825__prop_Thermal_conductivity__sid_121__row_3079,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1413,Thermal conductivity,429.0,1.15,1.15,0.11313708498984747,1.07,1.23,2,2,10.1002_aenm.201500411__sample_1413__figure_824__prop_Thermal_conductivity__sid_121__row_112267;10.1002_aenm.201500411__sample_1413__figure_825__prop_Thermal_conductivity__sid_121__row_3079,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1413,Thermal conductivity,474.0,1.3199999999999998,1.3199999999999998,0.12727922061357844,1.23,1.41,2,2,10.1002_aenm.201500411__sample_1413__figure_824__prop_Thermal_conductivity__sid_121__row_112267;10.1002_aenm.201500411__sample_1413__figure_825__prop_Thermal_conductivity__sid_121__row_3079,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1413,Thermal conductivity,531.0,1.62,1.62,0.14142135623730956,1.52,1.72,2,2,10.1002_aenm.201500411__sample_1413__figure_824__prop_Thermal_conductivity__sid_121__row_112267;10.1002_aenm.201500411__sample_1413__figure_825__prop_Thermal_conductivity__sid_121__row_3079,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1414,Thermal conductivity,299.0,1.465,1.465,0.1626345596729059,1.35,1.58,2,2,10.1002_aenm.201500411__sample_1414__figure_824__prop_Thermal_conductivity__sid_121__row_112262;10.1002_aenm.201500411__sample_1414__figure_825__prop_Thermal_conductivity__sid_121__row_3080,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1414,Thermal conductivity,328.0,1.4100000000000001,1.4100000000000001,0.15556349186104051,1.3,1.52,2,2,10.1002_aenm.201500411__sample_1414__figure_824__prop_Thermal_conductivity__sid_121__row_112262;10.1002_aenm.201500411__sample_1414__figure_825__prop_Thermal_conductivity__sid_121__row_3080,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1414,Thermal conductivity,430.0,1.325,1.325,0.1626345596729059,1.21,1.44,2,2,10.1002_aenm.201500411__sample_1414__figure_824__prop_Thermal_conductivity__sid_121__row_112262;10.1002_aenm.201500411__sample_1414__figure_825__prop_Thermal_conductivity__sid_121__row_3080,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1414,Thermal conductivity,474.0,1.375,1.375,0.1626345596729059,1.26,1.49,2,2,10.1002_aenm.201500411__sample_1414__figure_824__prop_Thermal_conductivity__sid_121__row_112262;10.1002_aenm.201500411__sample_1414__figure_825__prop_Thermal_conductivity__sid_121__row_3080,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1414,Thermal conductivity,532.0,1.5299999999999998,1.5299999999999998,0.16970562748477133,1.41,1.65,2,2,10.1002_aenm.201500411__sample_1414__figure_824__prop_Thermal_conductivity__sid_121__row_112262;10.1002_aenm.201500411__sample_1414__figure_825__prop_Thermal_conductivity__sid_121__row_3080,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1415,Thermal conductivity,328.0,1.2115,1.2115,0.30900566337852126,0.993,1.43,2,2,10.1002_aenm.201500411__sample_1415__figure_824__prop_Thermal_conductivity__sid_121__row_112263;10.1002_aenm.201500411__sample_1415__figure_825__prop_Thermal_conductivity__sid_121__row_3081,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1415,Thermal conductivity,372.0,1.149,1.149,0.29839906166072316,0.938,1.36,2,2,10.1002_aenm.201500411__sample_1415__figure_824__prop_Thermal_conductivity__sid_121__row_112263;10.1002_aenm.201500411__sample_1415__figure_825__prop_Thermal_conductivity__sid_121__row_3081,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1415,Thermal conductivity,474.0,1.23,1.23,0.3252691193458118,1.0,1.46,2,2,10.1002_aenm.201500411__sample_1415__figure_824__prop_Thermal_conductivity__sid_121__row_112263;10.1002_aenm.201500411__sample_1415__figure_825__prop_Thermal_conductivity__sid_121__row_3081,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1415,Thermal conductivity,531.0,1.415,1.415,0.34648232278140834,1.17,1.66,2,2,10.1002_aenm.201500411__sample_1415__figure_824__prop_Thermal_conductivity__sid_121__row_112263;10.1002_aenm.201500411__sample_1415__figure_825__prop_Thermal_conductivity__sid_121__row_3081,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,299.0,1.3145,1.3145,0.5168950570473663,0.949,1.68,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,328.0,1.239,1.239,0.5105310960166874,0.878,1.6,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,372.0,1.1925,1.1925,0.4914392129246505,0.845,1.54,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,430.0,1.1905000000000001,1.1905000000000001,0.48012550442566587,0.851,1.53,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,474.0,1.2475,1.2475,0.4843681451127851,0.905,1.59,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1002_aenm.201500411__sample_1416,Thermal conductivity,532.0,1.405,1.405,0.5303300858899106,1.03,1.78,2,2,10.1002_aenm.201500411__sample_1416__figure_824__prop_Thermal_conductivity__sid_121__row_112264;10.1002_aenm.201500411__sample_1416__figure_825__prop_Thermal_conductivity__sid_121__row_3082,W*m^(-1)*K^(-1)
10.1007_s00339-004-2596-z__sample_8184,Electrical conductivity,361.098,1085.427,1085.427,0.0,1085.427,1085.427,2,1,10.1007_s00339-004-2596-z__sample_8184__figure_6700__prop_Electrical_conductivity__sid_223__row_26203,ohm^(-1)*m^(-1)
10.1007_s00339-004-2596-z__sample_8184,Electrical conductivity,460.772,2954.774,2954.774,0.0,2954.774,2954.774,2,1,10.1007_s00339-004-2596-z__sample_8184__figure_6700__prop_Electrical_conductivity__sid_223__row_26203,ohm^(-1)*m^(-1)
10.1007_s10789-005-0256-0__sample_10951,Electrical conductivity,620.553,1132.988,1132.988,0.0,1132.988,1132.988,2,1,10.1007_s10789-005-0256-0__sample_10951__figure_9039__prop_Electrical_conductivity__sid_1205__row_35271,ohm^(-1)*m^(-1)
10.1007_s10853-016-9980-x__sample_2542,ZT,652.506,1.151761,1.151761,0.0,1.151761,1.151761,2,1,10.1007_s10853-016-9980-x__sample_2542__figure_1636__prop_ZT__sid_11722__row_5522,-
10.1007_s10853-018-2209-4__sample_43851,ZT,400.633,0.690007,0.690007,0.0,0.690007,0.690007,2,1,10.1007_s10853-018-2209-4__sample_43851__figure_34072__prop_ZT__sid_33894__row_128448,-
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,301.416,23190.232065,23190.232065,32730.414345855665,46.33413,46334.13,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,318.574,22495.427955000003,22495.427955000003,31749.776189852662,44.94591,44945.91,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
