sample_key,DOI,paper_title,sample_id,composition,temperature_K,n_or_p,sigma_obs_raw,sigma_unit_raw,rho_obs_raw,rho_unit_raw,seebeck_obs_raw,seebeck_unit_raw,kappa_obs_raw,kappa_unit_raw,zt_obs_raw,zt_unit_raw,sigma_obs_S_per_m_step11,seebeck_obs_V_per_K_step11,kappa_obs_W_per_mK_step11,zt_obs_dimensionless_step11,row_quality_step11,row_quality_note_step11,zt_consistency_status_step11,problem_reason_step11
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,300.448,n,47.95103,ohm^(-1)*m^(-1),,,-0.0007578224,V*K^(-1),0.594302,W*m^(-1)*K^(-1),0.003138431,-,47.95103,-0.0007578224,0.594302,0.003138431,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,400.866,n,76.19599,ohm^(-1)*m^(-1),,,-0.0006622094,V*K^(-1),0.5384615,W*m^(-1)*K^(-1),0.004430012,-,76.19599,-0.0006622094,0.5384615,0.004430012,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,450.176,n,93.29297,ohm^(-1)*m^(-1),,,-0.0005759918,V*K^(-1),0.5225071,W*m^(-1)*K^(-1),0.005051716,-,93.29297,-0.0005759918,0.5225071,0.005051716,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,500.69,n,88.05553,ohm^(-1)*m^(-1),,,-0.0005200277,V*K^(-1),0.5076923,W*m^(-1)*K^(-1),0.005874979,-,88.05553,-0.0005200277,0.5076923,0.005874979,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,550.475,n,84.16112,ohm^(-1)*m^(-1),,,-0.0004665997,V*K^(-1),0.4985755,W*m^(-1)*K^(-1),0.005838308,-,84.16112,-0.0004665997,0.4985755,0.005838308,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201806558__sample_41880,10.1002/adfm.201806558,,41880,BiSbSe3,649.824,n,134.8014,ohm^(-1)*m^(-1),,,-0.0003511244,V*K^(-1),0.4803419,W*m^(-1)*K^(-1),0.00950021,-,134.8014,-0.0003511244,0.4803419,0.00950021,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201908405__sample_36198,10.1002/adfm.201908405,,36198,SnSe2,376.223,n,383.5616,ohm^(-1)*m^(-1),,,-0.0005205143,V*K^(-1),3.154609,W*m^(-1)*K^(-1),0.005663265,-,383.5616,-0.0005205143,3.154609,0.005663265,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adfm.201908405__sample_36198,10.1002/adfm.201908405,,36198,SnSe2,672.142,n,383.5616,ohm^(-1)*m^(-1),,,-0.0005343,V*K^(-1),1.442731,W*m^(-1)*K^(-1),0.02527018,-,383.5616,-0.0005343,1.442731,0.02527018,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adma.201301675__sample_20783,10.1002/adma.201301675,,20783,BiCuSeO,622.395,p,2051.217,ohm^(-1)*m^(-1),,,0.000358668,V*K^(-1),0.4526387,W*m^(-1)*K^(-1),0.105109,-,2051.217,0.000358668,0.4526387,0.105109,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
10.1002_adma.201301675__sample_20783,10.1002/adma.201301675,,20783,BiCuSeO,721.998,p,2774.028,ohm^(-1)*m^(-1),,,0.0003663008,V*K^(-1),0.4134201,W*m^(-1)*K^(-1),0.1753963,-,2774.028,0.0003663008,0.4134201,0.1753963,fit_and_zt_eval,usable for tau fitting and ZT calculation,large_mismatch,ZT large mismatch
