quantity_step11,raw_unit,normalized_unit,conversion_status,conversion_factor,row_count,sample_count,min_raw_value,max_raw_value,min_converted_value,max_converted_value,example_sample_keys
kappa,,missing,missing,,620201,30777,,,,,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.200500043__sample_25073;10.1002_adem.200500043__sample_25074;10.1002_adem.200500043__sample_25075
kappa,W*m^(-1)*K^(-1),w*m^-1*k^-1,invalid_value,1.0,7,5,-1.849283,0.0,,,10.1007_s11664-010-1477-9__sample_5749;10.1007_s11664-010-1477-9__sample_5750;10.1016_j.ssc.2012.10.003__sample_4796;10.1021_acs.jpclett.1c02139__sample_45697;10.1021_acs.jpclett.1c02139__sample_45698
kappa,W*m^(-1)*K^(-1),w*m^-1*k^-1,ok,1.0,65025,9048,3.407e-06,1997.33,3.407e-06,1997.33,10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989;10.1002_adem.201400183__sample_19725;10.1002_adem.201400183__sample_19726
rho,,missing,missing,,253305,16165,,,,,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18986;10.1002_adem.201200233__sample_18987
rho,-,missing,unit_unknown,,17,2,148.0805,370.4359,,,10.1063_1.4894095__sample_24352;10.1063_1.4894095__sample_24353
rho,kg,kg,unit_unknown,,28,4,7.457399,14.74439,,,10.1016_j.pnsc.2017.02.009__sample_21577;10.1016_j.pnsc.2017.02.009__sample_21578;10.1016_j.pnsc.2017.02.009__sample_21579;10.1016_j.pnsc.2017.02.009__sample_21580
rho,kg*m**3/A**2/s**3,kg*m^3/a^2/s^3,ok,1.0,88,4,0.0001269,0.04575,0.0001269,0.04575,10.1103_physrevb.36.4007__sample_58380;10.1103_physrevb.36.4007__sample_58381;10.1103_physrevb.36.4007__sample_58382;10.1103_physrevb.51.576__sample_57952
rho,ohm,ohm,unit_unknown,,1127,25,1.594e-05,43080000000.0,,,10.1016_j.physc.2015.02.012__sample_51932;10.1021_acsami.7b17603__sample_51603;10.1021_acsami.7b17603__sample_51604;10.1021_acsami.8b01436__sample_51106;10.1063_1.2167353__sample_51259
rho,ohm*m,ohm*m,ok,1.0,430237,16589,1.246026e-60,19566800000000.0,1.246026e-60,19566800000000.0,10.1002_adem.200500043__sample_25073;10.1002_adem.200500043__sample_25074;10.1002_adem.200500043__sample_25075;10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733
rho,ohm*m^-1,ohm*m^-1,unit_unknown,,341,14,0.01553398,208.8,,,10.1016_j.joule.2017.09.006__sample_31515;10.1016_j.joule.2017.09.006__sample_31516;10.1016_j.joule.2017.09.006__sample_31523;10.1016_j.joule.2017.09.006__sample_31524;10.1016_j.joule.2017.09.006__sample_31525
rho,ohm*m^2,ohm*m^2,unit_unknown,,90,6,1.238998e-13,3.036146e-11,,,10.1021_acsomega.9b00551__sample_27880;10.1021_acsomega.9b00551__sample_27881;10.1021_acsomega.9b00551__sample_27882;10.1021_acsomega.9b00551__sample_27883;10.1021_acsomega.9b00551__sample_27884
seebeck,,missing,missing,,569245,28981,,,,,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.200500043__sample_25073;10.1002_adem.200500043__sample_25074;10.1002_adem.200500043__sample_25075
