prefactor_group_key_step12,temperature_bin_K_step12,prefactor_source_step12,row_count,sample_count,median_prefactor_C_S_per_m_step12,min_prefactor_C_S_per_m_step12,max_prefactor_C_S_per_m_step12,example_sample_keys
all_data,1375.0,global_median,1,1,42617.044906990115,42617.044906990115,42617.044906990115,10.1063_1.336088__sample_6974
all_data,1475.0,global_median,1,1,42619.57,42619.57,42619.57,10.1016_s0272-8842_99_00089-9__sample_19843
all_data,1500.0,global_median,2,2,42619.64699908431,42619.57,42619.72399816862,10.1016_s0272-8842_99_00089-9__sample_19842;10.1016_s0272-8842_99_00089-9__sample_19844
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=0.0,0.0,material_system+n_or_p+fitting_source+temperature_bin,167,93,40772.19,35917.600000000006,44134.57,10.1007_s11664-009-0990-1__sample_1320;10.1007_s11664-009-0990-1__sample_1321;10.1007_s11664-009-0990-1__sample_5427;10.1007_s11664-010-1477-9__sample_5749;10.1007_s11664-010-1477-9__sample_5750
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=100.0,100.0,material_system+n_or_p+fitting_source+temperature_bin,737,287,63915.634999999995,62269.08,64427.86,10.1002_adma.201505922__sample_32232;10.1002_andp.201900340__sample_38959;10.1002_andp.201900340__sample_38960;10.1002_andp.201900340__sample_38961;10.1002_andp.201900340__sample_38962
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1000.0,1000.0,material_system+n_or_p+fitting_source+temperature_bin,211,208,28416.97,28100.0,28815.2,10.1002_adfm.201705845__sample_83050;10.1002_adfm.201705845__sample_83051;10.1002_adfm.201705845__sample_83052;10.1002_adfm.201903157__sample_45714;10.1002_adfm.201903157__sample_45715
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1025.0,1025.0,material_system+n_or_p+fitting_source+temperature_bin,134,131,27808.905,26917.65,28600.0,10.1002_adfm.201705845__sample_83049;10.1002_adfm.201705845__sample_83053;10.1002_adfm.201705845__sample_83055;10.1002_adma.201800881__sample_83334;10.1002_adma.201800881__sample_83335
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1050.0,1050.0,material_system+n_or_p+fitting_source+temperature_bin,179,166,29045.485,28890.97,29717.98,10.1002_adfm.201705845__sample_83050;10.1002_adfm.201705845__sample_83051;10.1002_adfm.201705845__sample_83052;10.1002_adfm.201705845__sample_83054;10.1002_adfm.201903157__sample_45714
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1075.0,1075.0,material_system+n_or_p+fitting_source+temperature_bin,195,195,27218.52,27053.39,27276.14,10.1002_adfm.201705845__sample_83049;10.1002_adfm.201705845__sample_83053;10.1002_adfm.201705845__sample_83055;10.1002_adma.201800881__sample_83334;10.1002_adma.201800881__sample_83335
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1100.0,1100.0,material_system+n_or_p+fitting_source+temperature_bin,82,78,54260.354999999996,52750.97,55680.47,10.1002_adfm.201705845__sample_83050;10.1002_adfm.201705845__sample_83051;10.1002_adfm.201705845__sample_83052;10.1002_adfm.201705845__sample_83054;10.1002_adma.201800881__sample_83334
