sample_key,SID,DOI,sample_id,paper_title,year,composition,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,sintering_method,sintering_checked,record_checked,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,fitting_source_preference_step8,fitting_source_actual_step10,sigma_obs_source_step11,tau_eff_step12,log_tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,n_fit_rows_step12,n_fit_temperature_points_step12,temperature_min_fit_step12,temperature_max_fit_step12,temperature_span_fit_step12,sigma_fit_mae_step12,sigma_fit_rmse_step12,sigma_fit_mape_step12,sigma_fit_log_mae_step12,sigma_fit_log_rmse_step12,sigma_fit_r2_log_step12,sigma_fit_bias_log_step12,tau_eff_log_std_step12,tau_eff_geometric_std_factor_step12,tau_eff_train_step12,n_train_rows_step12,n_holdout_rows_step12,sigma_holdout_mae_step12,sigma_holdout_rmse_step12,sigma_holdout_mape_step12,sigma_holdout_log_rmse_step12,sigma_holdout_r2_log_step12,holdout_eval_status_step12,fit_status_step12,fit_note_step12,prefactor_source_step12,seebeck_obs_V_per_K_step11,kappa_obs_W_per_mK_step11,zt_obs_dimensionless_step11,power_factor_obs_W_per_mK2_step11,zt_calc_from_obs_step11,can_eval_power_factor_step11,can_calc_zt_from_obs_step11,can_compare_zt_obs_step11,row_quality_step11,n_prefactor_available_rows_step12,n_prefactor_unavailable_rows_step12,log_tau_eff_train_step12,tau_fit_problem_reason_step12,doi_url
10.1002_adem.201400183__sample_19725,124,10.1002/adem.201400183,19725,,,B4C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.0293087858805648,-3.5298679485030195,relative_scale,empirical_group_baseline,13,13,296.916,872.932,576.0160000000001,1130.8306808190753,1279.8656294074099,1.5525009924526667,0.9742775404353403,1.1187789585387196,-0.655459738498231,2.049642507000289e-16,1.1644620594540915,3.2041987510787497,0.02008595228820121,10,3,2224.4172915872555,2234.186911192856,0.8009524777976011,1.6516064056469197,-1490.3015118673145,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0003142852,21.9124,0.002339181,2.4072569951544293e-05,0.008975864357960895,True,False,False,fit_and_pf_eval,13,0,-3.9077345993896344,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19726,124,10.1002/adem.201400183,19726,,,B5C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.11020222344651247,-2.2054382060012347,relative_scale,empirical_group_baseline,13,13,296.928,871.831,574.903,4624.362819869267,5442.23969884374,2.1413051470765256,1.0444739310532873,1.2654802642283776,-0.5580310964277235,-1.3664283380001927e-16,1.317153619519816,3.732781325724726,0.07299550946215058,10,3,9694.074998970966,9748.451035126225,0.8273767097789667,1.8005775784844809,-970.3401887642257,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0003103079,10.44979,0.01052632,4.518735044042144e-05,0.00238607573058185,True,False,False,fit_and_pf_eval,13,0,-2.6173573539429382,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19727,124,10.1002/adem.201400183,19727,,,B6C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.1792068330238361,-1.719214648454893,relative_scale,empirical_group_baseline,13,13,298.573,878.628,580.0550000000001,7381.595150817985,8536.04116627845,1.7034871126042646,1.011627615718006,1.178618302219195,-0.6178995118434194,6.832141690000964e-17,1.226744823039099,3.410110935050372,0.1200199768128989,10,3,15029.803194181513,15095.109254874968,0.8194774978327987,1.751452854672803,-1540.2383889084426,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0003033477,6.825475,0.005263158,0.00010550892152936145,,True,False,False,fit_and_pf_eval,13,0,-2.1200970766144325,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19728,124,10.1002/adem.201400183,19728,,,B7C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.20812395322246885,-1.5696214478217883,relative_scale,empirical_group_baseline,13,13,300.188,870.803,570.615,8974.10333633112,10383.501059832408,1.8503752884623357,1.0543868439204294,1.2276471606214725,-0.5830711724197155,-6.832141690000964e-17,1.2777756768034287,3.5886485271967223,0.13770618778655846,10,3,18348.576332771874,18429.619168161804,0.8285369757925777,1.8041958960833089,-1441.7632023217577,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002558331,5.79047,0.00877193,0.000277440602472202,0.019891252514202425,False,False,False,fit_only,13,0,-1.9826329375355947,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19729,124,10.1002/adem.201400183,19729,,,B8C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.3024522811670872,-1.1958317621627743,relative_scale,empirical_group_baseline,13,13,298.609,869.6,570.991,12019.316211202777,13754.427134980502,1.6925235642324747,0.9917875198377,1.1593240177221493,-0.6356098179213794,2.049642507000289e-16,1.2066626950283355,3.342311705681223,0.2056072082358738,10,3,23722.159603596152,23831.717219872375,0.807401861985099,1.6874050946228363,-1526.78565145957,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.000217216,4.902181,0.02046784,0.0005476695242604544,0.05491102271306875,False,False,False,fit_only,13,0,-1.5817876865026925,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19730,124,10.1002/adem.201400183,19730,,,B9C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.2962566088833061,-1.21652927831477,relative_scale,empirical_group_baseline,13,13,295.428,878.985,583.557,9886.568145716235,11275.280749354639,1.3214960112840934,0.8600308129033962,1.0148662745341464,-0.7749018416873885,6.832141690000964e-17,1.056306308851297,2.8757292919636304,0.2116563276871086,10,3,18593.94894655533,18724.618743481562,0.7609274569306533,1.4748850115899763,-947.3738552952523,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002446807,4.606751,0.04736842,0.00014959923118947746,,True,False,False,fit_and_pf_eval,13,0,-1.5527914155232543,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19731,124,10.1002/adem.201400183,19731,,,B10C,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical conductivity,Electrical conductivity,from_sigma,0.1689506575132818,-1.778148574066867,relative_scale,empirical_group_baseline,13,13,295.362,878.435,583.0729999999999,5901.140186224941,6776.0804116859,1.4468436671622276,0.8957671221241637,1.063895944052165,-0.7214095516838279,2.049642507000289e-16,1.1073380068516574,3.026291694693319,0.11884465334886483,10,3,11414.935719065214,11492.698560448342,0.7763695109231028,1.5416763311574406,-898.2417194397786,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002784897,4.819029,0.009356725,9.757881262979422e-05,0.10907295194934691,True,False,False,fit_and_pf_eval,13,0,-2.129938072735063,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19733,124,10.1002/adem.201400183,19733,,,TiO1.80,unknown,n,"estimated from Seebeck sign: positive=0, negative=27, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=27, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical resistivity,Electrical resistivity,from_rho,0.24620926691015663,-1.4015734261750867,relative_scale,empirical_group_baseline,27,27,313.212,914.641,601.429,5570.014262937927,7071.31298703298,0.6028154606704037,0.5443617119856592,0.6855488660438245,-0.9014157888152783,6.579099405186112e-17,0.698608113124763,2.0109517412732236,0.18777339695691067,21,6,13284.964455758707,13803.343815940276,0.6795709190281719,1.2866603429380628,-117.06603949984006,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,,,,,,False,False,False,fit_only,27,0,-1.6725193784886503,large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adem.201400183__sample_19734,124,10.1002/adem.201400183,19734,,,TiO1.90,unknown,n,"estimated from Seebeck sign: positive=0, negative=27, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=27, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,False,False,Electrical resistivity,Electrical resistivity,from_rho,0.23253008152734264,-1.4587356794106716,relative_scale,empirical_group_baseline,27,27,310.474,917.332,606.858,4059.6476135458215,5177.3466370883325,0.4570868545088104,0.42697942184150794,0.5561576138219415,-1.41621482550803,2.631639762074445e-16,0.566752044145719,1.7625331149391126,0.18570840280112008,21,6,9507.173131257347,9699.960829994861,0.6178736501693732,1.061676654738182,-1346.0525794817195,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,,,,,,False,False,False,fit_only,27,0,-1.6835775623142941,large holdout log RMSE,https://doi.org/10.1002/adem.201400183
10.1002_adfm.200800298__sample_5872,127,10.1002/adfm.200800298,5872,,,Yb14AlSb11,unknown,p,"estimated from Seebeck sign: positive=36, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=36, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical resistivity,Electrical resistivity,from_rho,,,relative_scale,empirical_group_baseline,4,4,1176.393,1265.574,89.18100000000004,,,,,,,,,,,0,0,,,,,,not_enough_points,insufficient_points,only 4 rows with available prefactor,material_system+n_or_p+fitting_source+temperature_bin,,,,,,False,False,False,fit_only,4,0,,fit_status=insufficient_points; insufficient points,https://doi.org/10.1002/adfm.200800298
