sample_key,classification_case_step15,threshold_step15,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,manual_review_priority_score_step15,needs_manual_review_step15,needs_sintering_check_later_step15,sintering_check_reason_step15,doi_url
10.1002_adfm.201201221__sample_209,false_positive,1.0,unknown,p,Pb0.99Ba0.01Te1.01Na0.02,10.1002/adfm.201201221,,,1.1010850917402235,0.7994646787669252,,0.40347038259523244,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1002/adfm.201201221
10.1002_adfm.201300146__sample_1422,true_positive,1.0,unknown,p,Bi0.3Sb1.7Te3,10.1002/adfm.201300146,,1.170125,1.1148151815779364,1.204996980172414,0.14581233814726674,0.10981150868276374,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201300146
10.1002_adfm.201300146__sample_1424,true_positive,1.0,unknown,p,(Bi0.3Sb1.7Te3)96.98(SiC)3.02,10.1002/adfm.201300146,,1.250929,1.0636091109223442,1.2562031999999996,0.14974462105975297,0.1533144391589318,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201300146
10.1002_adfm.201402211__sample_7642,false_negative,1.0,unknown,n,BiAgSeS0.985Cl0.015,10.1002/adfm.201402211,,1.07977,0.5074408662712181,1.0753698850208973,,1.232812567662576,False,True,True,120,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1002/adfm.201402211
10.1002_adfm.201402211__sample_7643,false_negative,1.0,unknown,n,BiAgSeS0.985Cl 0.015,10.1002/adfm.201402211,,1.217969,0.6119276364558642,1.2341276042743918,0.31744867856648257,0.6605617014598559,False,True,True,100,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1002/adfm.201402211
10.1002_adfm.201502782__sample_26765,false_positive,1.0,unknown,n,Ce0.25Co4Sb12,10.1002/adfm.201502782,,0.9153028,1.2942544994945984,1.0557234710514514,0.041445948261515354,0.12249235700424167,False,True,True,75,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1002/adfm.201502782
10.1002_adfm.201502782__sample_26766,false_negative,1.0,unknown,n,Ce0.25Co3.975Cr0.025Sb12,10.1002/adfm.201502782,,1.189896,0.7042077156842516,0.715666454475293,,0.01601128391499453,False,True,True,100,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1002/adfm.201502782
10.1002_adfm.201502782__sample_26767,false_negative,1.0,unknown,n,Ce0.25Co3.95Cr0.05Sb12,10.1002/adfm.201502782,,1.207511,0.39410564505694423,0.3898508000759873,,0.010914034241118855,False,True,True,100,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1002/adfm.201502782
10.1002_adfm.201601486__sample_14509,false_positive,1.0,unknown,p,Cu1.85Ag0.15Sn0.95In0.05Se3,10.1002/adfm.201601486,,0.8685272,1.4055897179195425,0.8865098427896865,0.1836974617642886,0.17345770668889515,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1002/adfm.201601486
10.1002_adfm.201601486__sample_14510,true_positive,1.0,unknown,p,Cu1.85Ag0.15Sn0.9In0.1Se3,10.1002/adfm.201601486,,1.423481,2.1338009594044043,1.4389065924984774,0.1852633399214272,0.1787595198230912,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201601486
10.1002_adfm.201601486__sample_14511,true_positive,1.0,unknown,p,Cu1.85Ag0.15Sn0.85In0.15Se3,10.1002/adfm.201601486,,1.230759,1.9224525160248933,1.2259154120325002,0.23885061305167274,0.22381254361532682,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201601486
10.1002_adfm.201601486__sample_14512,true_positive,1.0,unknown,p,Cu1.85Ag0.15Sn0.8In0.2Se3,10.1002/adfm.201601486,,1.302738,2.1105955453233496,1.274875779302361,0.2533494792688765,0.22601045908041204,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201601486
10.1002_adfm.201801617__sample_39932,false_positive,1.0,unknown,n,Pb0.988Sb0.012Te,10.1002/adfm.201801617,,0.8676494,1.9518286680300425,0.9263083589351132,0.3109461453089265,0.42875580618039144,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1002/adfm.201801617
10.1002_adfm.201801617__sample_39933,true_positive,1.0,unknown,n,Pb0.988Sb0.012Te(GeTe)0.02,10.1002/adfm.201801617,,1.052739,1.7533676870858723,0.994060527909018,0.2617551814567353,0.382567227241017,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201801617
10.1002_adfm.201801617__sample_39934,true_positive,1.0,unknown,n,Pb0.988Sb0.012Te(GeTe)0.05,10.1002/adfm.201801617,,1.071972,2.1923255385708837,1.075554332807006,0.9093925644258566,0.7170022591581885,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201801617
10.1002_adfm.201801617__sample_39937,true_positive,1.0,unknown,n,Pb0.988Sb0.012Te(GeTe)0.1,10.1002/adfm.201801617,,1.028608,1.79865971156923,0.8804142769558703,0.7486347681227737,0.7046453101807193,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201801617
10.1002_adfm.201801617__sample_39938,false_negative,1.0,unknown,n,Pb0.988Sb0.012Te(GeTe)0.12,10.1002/adfm.201801617,,1.132345,0.11084392057988007,0.1717038203132291,0.33941773449346285,0.3544469751594689,False,True,True,100,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1002/adfm.201801617
10.1002_adfm.201801617__sample_39939,true_positive,1.0,unknown,n,Pb0.988Sb0.012Te(GeTe)0.13,10.1002/adfm.201801617,,1.324211,1.6062010784093632,1.281317321842197,0.23928897523485,0.2398100301855961,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1002/adfm.201801617
