feature_name_step15,feature_value_step15,sample_count,zt_eval_sample_count,median_zt_pred_vs_obs_mape_step15,median_zt_pred_vs_calc_mape_step15,median_pf_mape_step15,high_zt_observed_sample_count,high_zt_predicted_sample_count,large_error_sample_count,manual_review_sample_count
nanocarbon_keyword_detected_step9,False,18442,6346,0.18479093848873976,0.1690180423781734,0.17729448055641112,1776,1990,836,3199
nanocarbon_keyword_detected_step9,True,24,16,0.21376735883786546,0.2086769565813201,0.167511956964401,1,0,2,3
rare_metal_flag_auto_step9,False,3019,708,0.33993972472451706,0.3028664726058341,0.2888773970259375,50,83,188,279
rare_metal_flag_auto_step9,True,15447,5654,0.17284482808084065,0.1589299714822823,0.162887252346618,1727,1907,650,2923
toxicity_flag_auto_step9,False,5738,1097,0.2907391351369554,0.2375444582480831,0.2514876879097369,89,97,298,411
toxicity_flag_auto_step9,True,12728,5265,0.1717775903149089,0.1579037374653851,0.15864196629500554,1688,1893,540,2791
n_or_p,n,8239,2581,0.1668120445089765,0.1569646497295772,0.1673439735486215,587,757,367,1205
n_or_p,p,10227,3781,0.1945595229830051,0.176281791578034,0.1827325029787667,1190,1233,471,1997
fitting_source_actual_step10,,18466,6362,0.1849235184904193,0.1693166548143881,0.1772812097149333,1777,1990,838,3202
tau_eff_mode_step12,empirical_group_baseline,18466,6362,0.1849235184904193,0.1693166548143881,0.1772812097149333,1777,1990,838,3202
