sample_key,n_rows_step14,n_pf_eval_rows_step14,n_zt_calc_eval_rows_step14,n_zt_obs_eval_rows_step14,pf_mape_step14,pf_log_rmse_step14,zt_pred_vs_calc_mape_step14,zt_pred_vs_calc_log_rmse_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_obs_log_rmse_step14,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_quality_step14,zt_pred_vs_calc_quality_step14,SID,DOI,sample_id,paper_title,year,composition,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,sintering_method,sintering_checked,record_checked,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,fitting_source_actual_step10,needs_sintering_check_later_step14,pf_error_level_sample_step15,zt_obs_error_level_sample_step15,zt_calc_error_level_sample_step15,zt_error_direction_sample_step15,zt_error_analysis_category_step15,zt_error_analysis_note_step15,manual_review_priority_score_step15,manual_review_priority_tier_step15,needs_manual_review_step15,sintering_check_reason_step15,needs_sintering_check_later_step15,pf_zt_problem_reason_step15,doi_url
10.1038_ncomms4640__sample_25500,23,5,2,1,0.8344928648862421,0.6839108179434888,1.2451762612902573,0.8130400665623024,1.1567274319876157,0.7685919950216311,1.301091,2.806098651212199,1.2277838639303194,poor,poor,14604,10.1038/ncomms4640,25500,,,Pb0.9975Sb0.0025Se,unknown,n,"estimated from Seebeck sign: positive=0, negative=23, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=23, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,1.4338088746308977,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,over_predicted,sigma_related_error_likely,sigma_related_error_likely,160,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1038/ncomms4640
10.1039_c3ta12764h__sample_1738,35,19,7,2,1.7969189742777314,1.1929752659954598,1.7109878441283648,1.0439438493012887,1.320925793966682,0.8872569878854957,1.285261,3.349365603139427,1.079984090909091,poor,poor,2768,10.1039/c3ta12764h,1738,,,Bi0.5Sb1.5Te3,unknown,p,"estimated from Seebeck sign: positive=44, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=44, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,2.7951453201913923,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,over_predicted,sigma_related_error_likely,sigma_related_error_likely,160,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1039/c3ta12764h
10.1021_jacs.9b01889__sample_45439,14,13,1,1,0.5622754284850694,0.6149705800636379,1.1652291453719947,0.7725261966721823,1.6145163530143762,0.9610791293652048,1.018801,2.6636718749673998,1.2302032238300444,poor,poor,38450,10.1021/jacs.9b01889,45439,,,Pb0.9865Ga0.0125In0.001S,unknown,n,"estimated from Seebeck sign: positive=0, negative=14, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=14, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.8113022487209876,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,over_predicted,sigma_related_error_likely,sigma_related_error_likely,160,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1021/jacs.9b01889
10.1002_anie.201605015__sample_15232,24,6,2,1,9.10146991180293,2.0023815011422714,12.100108082600393,2.3023453047178775,28.767388893086583,3.3934134618456446,1.492089,1.2789132964253478,0.9398321250114224,poor,poor,6453,10.1002/anie.201605015,15232,,,CsAg5Te3,unknown,p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.04875104069518955,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,sigma_related_error_likely,sigma_related_error_likely,160,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1002/anie.201605015
10.1021_jacs.8b10448__sample_45159,12,12,12,12,1.1251660305909401,0.9015837964400246,1.1251660305909297,0.9015837964400295,1.1428129777626166,0.9027155885771738,1.326816,4.59675894761604,1.3395267896110388,poor,poor,38443,10.1021/jacs.8b10448,45159,,,(PbSe0.998Br0.002)98.62(Cu2Se)1.38,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.7369291557812084,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,over_predicted,sigma_related_error_likely,sigma_related_error_likely,150,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1021/jacs.8b10448
10.1021_jacs.8b10448__sample_45161,12,11,11,9,1.5019629335488887,1.067525075659621,1.5019629335488887,1.0675250756596357,1.740303034859628,1.1530029297955884,1.125698,5.470597195494997,1.363326102310159,poor,poor,38443,10.1021/jacs.8b10448,45161,,,(PbSe0.998Br0.002)95.88(Cu2Se)4.12,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,1.4780739952737578,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,over_predicted,sigma_related_error_likely,sigma_related_error_likely,150,A,yes,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; possible unit or temperature alignment issue; manual review required; sintering check required later,https://doi.org/10.1021/jacs.8b10448
10.1021_jacs.1c01801__sample_44411,23,15,5,2,1.0000554236417987,1.0262558028824842,1.2682081780596959,0.9611062758715848,2.398121729288654,1.2212317483874549,1.307475,0.37616972646637564,1.0769446136658165,poor,poor,37843,10.1021/jacs.1c01801,44411,,,Cu0.8Ag0.2In0.4Ga0.6Te2,unknown,p,"estimated from Seebeck sign: positive=23, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=23, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.14458508292953512,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,high_zt_false_negative,145,A,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/jacs.1c01801
10.1038_nature13184__sample_31743,15,7,3,1,1.4559882799375774,1.2658685569719763,2.1811210413631104,1.1557590598963332,2.649920977413767,1.2947055173364097,2.617264,0.7676095246817163,0.3137429060412725,poor,poor,14595,10.1038/nature13184,31743,,,SnSe,unknown,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.043534486972739976,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,high_zt_false_negative,145,A,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1038/nature13184
10.1021_acsami.9b12256__sample_41044,10,7,2,1,2.3607488399538634,1.2887304420193846,4.39856559365989,1.6458129415452973,4.2620478655467355,1.6605202790318283,1.340895,0.16033236175495444,0.0540953075326759,poor,poor,22290,10.1021/acsami.9b12256,41044,,,(Cu2Te)0.11(Cu3.52In4.16Te8),unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.1732869719778368,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,high_zt_false_negative,145,A,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/acsami.9b12256
10.1039_d0ee02323j__sample_37115,11,6,4,2,0.9490525521339728,0.8444534820865178,1.1240852244319814,0.7846892801073383,1.102541589933996,0.8175921413402794,1.352287,0.5118241686948213,0.5092054879185548,poor,poor,29287,10.1039/d0ee02323j,37115,,,Cu0.86Ag0.2In0.94Te2,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,0.15477497948371313,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,under_predicted,high_zt_false_negative,high_zt_false_negative,145,A,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1039/d0ee02323j
