summary_type,category,sample_count,top_example_sample_keys,top_example_compositions,note
manual_review_priority_tier_step15,A,500,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
material_system,unknown,500,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
n_or_p,p,329,10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1039_d0ee02323j__sample_37115; 10.1021_jacs.1c01801__sample_44411; 10.1038_nature13184__sample_31743,CsAg5Te3; Bi0.5Sb1.5Te3; Cu0.86Ag0.2In0.94Te2; Cu0.8Ag0.2In0.4Ga0.6Te2; SnSe,Step16 summary only; original records should be checked in Step17
n_or_p,n,171,10.1021_jacs.9b01889__sample_45439; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161; 10.1021_jacs.8b10448__sample_45159; 10.1002_aenm.201800775__sample_39703,Pb0.9865Ga0.0125In0.001S; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12; (PbSe0.998Br0.002)98.62(Cu2Se)1.38; SnSb0.02Se0.96,Step16 summary only; original records should be checked in Step17
nanocarbon_keyword_detected_step9,False,500,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
needs_sintering_check_later_step15,yes,500,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
rare_metal_flag_auto_step9,True,482,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
rare_metal_flag_auto_step9,False,18,10.1016_j.matpr.2019.02.050__sample_39203; 10.1016_j.matpr.2019.02.050__sample_39206; 10.1016_j.matpr.2019.02.050__sample_39202; 10.1109_ict.2005.1519880__sample_24217; 10.1021_acsaem.7b00128__sample_45682,Fe0.92Mn0.08Si2; FeSi1.95P0.05; FeSi2; TiO1.1; Mg2Si0.4Sn0.6,Step16 summary only; original records should be checked in Step17
toxicity_flag_auto_step9,True,452,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
toxicity_flag_auto_step9,False,48,10.1063_1.4918311__sample_8494; 10.1016_j.matpr.2019.02.050__sample_39203; 10.1016_j.cej.2020.124763__sample_28284; 10.1016_j.cej.2020.124763__sample_28286; 10.1016_j.matpr.2019.02.050__sample_39206,Mg2Si0.4Sn0.4Ge0.2; Fe0.92Mn0.08Si2; Ag2S; Ag2S1.1; FeSi1.95P0.05,Step16 summary only; original records should be checked in Step17
zt_error_analysis_category_step15,high_zt_false_negative,331,10.1039_d0ee02323j__sample_37115; 10.1021_jacs.1c01801__sample_44411; 10.1038_nature13184__sample_31743; 10.1021_acsami.9b12256__sample_41044; 10.1021_jacs.1c01801__sample_44405,Cu0.86Ag0.2In0.94Te2; Cu0.8Ag0.2In0.4Ga0.6Te2; SnSe; (Cu2Te)0.11(Cu3.52In4.16Te8); Cu0.8Ag0.2InTe2,Step16 summary only; original records should be checked in Step17
zt_error_analysis_category_step15,high_zt_false_positive,78,10.1016_j.jssc.2013.07.027__sample_14596; 10.1016_j.mssp.2021.105979__sample_45734; 10.1134_s0020168516080070__sample_6917; 10.1039_c3ta12764h__sample_1736; 10.1016_j.actamat.2011.12.028__sample_3220,AgIn0.5Sb0.5Te2; Bi0.5Sb1.5Te3; (Bi0.5Sb1.5Te3)99.55(Pb)0.45; Bi0.5Sb1.5Te3; In0.1Co4Sb12,Step16 summary only; original records should be checked in Step17
zt_error_analysis_category_step15,sigma_related_error_likely,73,10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1039_c3ta12764h__sample_1738; 10.1038_ncomms4640__sample_25500; 10.1021_jacs.8b10448__sample_45161,Pb0.9865Ga0.0125In0.001S; CsAg5Te3; Bi0.5Sb1.5Te3; Pb0.9975Sb0.0025Se; (PbSe0.998Br0.002)95.88(Cu2Se)4.12,Step16 summary only; original records should be checked in Step17
zt_error_analysis_category_step15,large_error_needs_review,15,10.1016_j.jallcom.2019.07.120__sample_39034; 10.1021_ja301245b__sample_31658; 10.1016_j.jallcom.2019.07.120__sample_39033; 10.1016_j.jallcom.2019.07.120__sample_39044; 10.1039_c7qi00304h__sample_45978,Ge0.99Bi0.01Te; K0.0125Pb0.9875Te; GeTe; Ge0.93Bi0.07Te; (La0.8Ti0.1Ga0.1Fe3CoSb12)(Fe3Si)0.15,Step16 summary only; original records should be checked in Step17
zt_error_analysis_category_step15,good_prediction,3,10.1016_j.cej.2020.127795__sample_45811; 10.1002_advs.201600035__sample_31642; 10.1038_ncomms9144__sample_20276,Sn0.91Mn0.07Bi0.02Te; Fe1.05Nb0.75Ti0.25Sb; FeNb0.88Hf0.12Sb,Step16 summary only; original records should be checked in Step17
