summary_type,category,sample_count,top_example_sample_keys,top_example_compositions,note
material_system,unknown,3431,10.1038_ncomms4640__sample_25500; 10.1039_c3ta12764h__sample_1738; 10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1021_jacs.8b10448__sample_45159,Pb0.9975Sb0.0025Se; Bi0.5Sb1.5Te3; Pb0.9865Ga0.0125In0.001S; CsAg5Te3; (PbSe0.998Br0.002)98.62(Cu2Se)1.38,Step16 summary only; original records should be checked in Step17
n_or_p,p,2114,10.1039_c3ta12764h__sample_1738; 10.1002_anie.201605015__sample_15232; 10.1021_jacs.1c01801__sample_44411; 10.1038_nature13184__sample_31743; 10.1021_acsami.9b12256__sample_41044,Bi0.5Sb1.5Te3; CsAg5Te3; Cu0.8Ag0.2In0.4Ga0.6Te2; SnSe; (Cu2Te)0.11(Cu3.52In4.16Te8),Step16 summary only; original records should be checked in Step17
n_or_p,n,1317,10.1038_ncomms4640__sample_25500; 10.1021_jacs.9b01889__sample_45439; 10.1021_jacs.8b10448__sample_45159; 10.1021_jacs.8b10448__sample_45161; 10.1038_ncomms13713__sample_33474,Pb0.9975Sb0.0025Se; Pb0.9865Ga0.0125In0.001S; (PbSe0.998Br0.002)98.62(Cu2Se)1.38; (PbSe0.998Br0.002)95.88(Cu2Se)4.12; Sn0.94SeBi0.06,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high observed ZT; important candidate for paper; high predicted ZT,1163,10.1021_acs.chemmater.6b02308__sample_9547; 10.1016_j.jallcom.2014.02.060__sample_17486; 10.1021_acs.chemmater.7b04023__sample_31993; 10.1021_acs.chemmater.8b03994__sample_43365; 10.1016_j.jallcom.2014.02.060__sample_17487,Mg2.16(Si0.3Ge0.05Sn0.65)0.98Sb0.02; Zn3.85In0.15Sb3; Ge0.90Sb0.10Te; Yb0.25Co3.9Fe0.1Sb12; Zn3.82In0.18Sb3,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,large ZT prediction error; important candidate for paper; carried from Step14,796,10.1007_s10853-020-05586-3__sample_40787; 10.1016_j.intermet.2009.07.011__sample_11093; 10.1021_jacs.5b00091__sample_7393; 10.1021_acsami.9b05470__sample_45841; 10.1039_c4ra04889j__sample_6410,Cu2.25Cd0.75SbSe4; CaCd2Sb2; PbTe0.1Se0.4S0.5; Bi2O2Se; Mg3Sb2,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,630,10.1039_c3ta12764h__sample_1736; 10.1039_c3ta12764h__sample_1739; 10.1016_j.jmst.2021.01.097__sample_46366; 10.1016_j.actamat.2011.12.028__sample_3220; 10.1016_j.mssp.2021.105979__sample_45734,Bi0.5Sb1.5Te3; Bi0.5Sb1.5Te3; Ag1.97Pb0.03Te; In0.1Co4Sb12; Bi0.5Sb1.5Te3,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,359,10.1021_jacs.1c01801__sample_44411; 10.1038_nature13184__sample_31743; 10.1021_acsami.9b12256__sample_41044; 10.1039_d0ee02323j__sample_37115; 10.1038_ncomms13713__sample_33474,Cu0.8Ag0.2In0.4Ga0.6Te2; SnSe; (Cu2Te)0.11(Cu3.52In4.16Te8); Cu0.86Ag0.2In0.94Te2; Sn0.94SeBi0.06,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high observed ZT; important candidate for paper,207,10.1063_1.2811936__sample_3943; 10.1111_jace.13619__sample_13808; 10.1111_jace.13619__sample_13809; 10.1126_sciadv.aar5606__sample_40286; 10.7567_jjap.52.10mb06__sample_17469,Ba0.33Co4Sb12.16(C60)0.01; Bi2O2Se; Bi1.975O2Se; (Bi0.5Sb1.5Te3)79.21(Te)20.79; Zn3.9Sb3,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high predicted ZT,159,10.1021_acsaem.1c00632__sample_44403; 10.1063_1.4896520__sample_11489; 10.1039_c5ee01147g__sample_230; 10.1007_s11664-017-5607-5__sample_2547; 10.1039_c5ee01147g__sample_224,(GeTe)0.97(CuSbSe2)0.03; Cu1.94Al0.02Se; Pb1Te0.75S0.25Na0.06; Pb0.95Bi0.05Te; Pb1Te0.8S0.2Na0.06,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,carried from Step14,52,10.1002_aenm.202100883__sample_44899; 10.1002_adfm.201602652__sample_19500; 10.1002_adfm.201806558__sample_79036; 10.1002_anie.201708134__sample_31721; 10.1063_1.4799643__sample_26848,(Ag0.2Cu0.795)2S0.7Se0.3; SnSe; BiSbSe3; GeAg0.05Sb0.05Se1.1; Bi0.825Mg0.175CuSeO,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high observed ZT; large ZT prediction error; important candidate for paper; high predicted ZT; carried from Step14,25,10.1038_ncomms4640__sample_25500; 10.1039_c3ta12764h__sample_1738; 10.1021_jacs.9b01889__sample_45439; 10.1002_anie.201605015__sample_15232; 10.1021_jacs.8b10448__sample_45159,Pb0.9975Sb0.0025Se; Bi0.5Sb1.5Te3; Pb0.9865Ga0.0125In0.001S; CsAg5Te3; (PbSe0.998Br0.002)98.62(Cu2Se)1.38,Step16 summary only; original records should be checked in Step17
sintering_check_reason_step15,high observed ZT,18,10.1021_nl3003045__sample_1351; 10.1039_c4cp00641k__sample_9328; 10.1088_1674-1056_21_1_017401__sample_39445; 10.1088_1674-1056_21_1_017401__sample_39446; 10.1088_1674-1056_21_1_017401__sample_39447,Si86.25Ge13.75P1.05; Mg2(Si0.3Sn0.7)0.98Bi0.02; Ba7.99Ga15.80Cu0.03Sn30.17; Ba7.98Ga15.81Cu0.06Sn30.18; Ba7.98Ga15.64Cu0.15Sn30.24,Step16 summary only; original records should be checked in Step17
