summary_type,category,count,fraction,note
fit_status_step12,ok,18466,0.9999458493528998,
fit_status_step12,insufficient_points,1,5.415064710023285e-05,
target_quality_step18,medium,13127,0.7108355444847566,
target_quality_step18,low,5339,0.28911030486814315,
target_quality_step18,exclude,1,5.415064710023285e-05,
use_for_tau_eff_ml_step18,True,15623,0.8459955596469377,
use_for_tau_eff_ml_step18,False,2844,0.1540044403530622,
ml_exclusion_reason_step18,ok,15623,0.8459955596469377,
ml_exclusion_reason_step18,large validation error,1465,0.07933069800184112,
ml_exclusion_reason_step18,large sigma fit error,1378,0.07461959170412086,
ml_exclusion_reason_step18,missing target,1,5.415064710023285e-05,
material_system,unknown,18467,1.0,
n_or_p_final_step17,p,10228,0.5538528185411815,
n_or_p_final_step17,n,8239,0.44614718145881843,
n_or_p,p,10228,0.5538528185411815,
n_or_p,n,8239,0.44614718145881843,
paper_checked_step17,no,18467,1.0,
manual_review_status_step17,unknown,18167,0.9837548058699301,
manual_review_status_step17,not_checked,300,0.016245194130069855,
additive_source_step17,unknown,18167,0.9837548058699301,
additive_source_step17,auto_step9,300,0.016245194130069855,
structure_source_step17,unknown,18167,0.9837548058699301,
structure_source_step17,auto_step9,300,0.016245194130069855,
sintering_source_step17,unknown,18467,1.0,
sintering_checked_final_step17,no,18467,1.0,
nanocarbon_keyword_detected_step9,False,18443,0.9987003844695944,
nanocarbon_keyword_detected_step9,True,24,0.0012996155304055884,
rare_metal_flag_auto_step9,True,15448,0.836519196404397,
rare_metal_flag_auto_step9,False,3019,0.16348080359560296,
toxicity_flag_auto_step9,True,12729,0.6892835869388639,
toxicity_flag_auto_step9,False,5738,0.31071641306113607,
split_random_80_20_step18,train,14772,0.7999133589646397,
split_random_80_20_step18,test,3695,0.20008664103536036,
split_doi_group_80_20_step18,train,14622,0.7917907618996047,
split_doi_group_80_20_step18,test,3845,0.2082092381003953,
