sample_key,composition,material_system,n_or_p,fit_status_step12,n_fit_rows_step12,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,target_available_step18,target_quality_step18,ml_exclusion_reason_step18
10.1002_adem.201400183__sample_19725,B4C,unknown,p,ok,13,1.1187789585387196,1.6516064056469195,True,low,large sigma fit error
10.1002_adem.201400183__sample_19726,B5C,unknown,p,ok,13,1.2654802642283776,1.8005775784844809,True,low,large sigma fit error
10.1002_adem.201400183__sample_19727,B6C,unknown,p,ok,13,1.178618302219195,1.751452854672803,True,low,large sigma fit error
10.1002_adem.201400183__sample_19728,B7C,unknown,p,ok,13,1.2276471606214725,1.8041958960833089,True,low,large sigma fit error
10.1002_adem.201400183__sample_19729,B8C,unknown,p,ok,13,1.159324017722149,1.6874050946228365,True,low,large sigma fit error
10.1002_adem.201400183__sample_19730,B9C,unknown,p,ok,13,1.0148662745341464,1.4748850115899763,True,low,large sigma fit error
10.1002_adem.201400183__sample_19731,B10C,unknown,p,ok,13,1.063895944052165,1.5416763311574406,True,low,large sigma fit error
10.1002_adem.201400183__sample_19733,TiO1.80,unknown,n,ok,27,0.6855488660438245,1.286660342938063,True,low,large validation error
10.1002_adem.201400183__sample_19734,TiO1.90,unknown,n,ok,27,0.5561576138219415,1.061676654738182,True,low,large validation error
10.1002_adfm.200800298__sample_5872,Yb14AlSb11,unknown,p,insufficient_points,4,,,False,exclude,missing target
10.1002_adfm.201000970__sample_5873,Ca5Al2Sb6,unknown,p,ok,23,0.5575918587872264,1.192980306475813,True,low,large validation error
10.1002_adfm.201201221__sample_209,Pb0.99Ba0.01Te1.01Na0.02,unknown,p,ok,11,0.8041194607403646,1.2917350953406652,True,low,large validation error
10.1002_adfm.201201221__sample_328,Pb0.98Ba0.02Te1.01Na0.02,unknown,p,ok,11,0.7854805521518771,1.2374218572879827,True,low,large validation error
10.1002_adfm.201402211__sample_7641,BiAgSeS0.985Cl0.015,unknown,n,ok,12,0.9806192868139852,1.623876401868367,True,low,large validation error
10.1002_adfm.201402211__sample_7642,BiAgSeS0.985Cl0.015,unknown,n,ok,12,0.7344496226947419,1.1856536106600075,True,low,large validation error
10.1002_adfm.201402211__sample_7643,BiAgSeS0.985Cl 0.015,unknown,n,ok,12,0.7456469938112961,1.251512501112575,True,low,large validation error
10.1002_adfm.201602652__sample_19500,SnSe,unknown,p,ok,8,1.5053406940504943,2.665156853276215,True,low,large sigma fit error
10.1002_adfm.201602652__sample_19501,SnSe,unknown,p,ok,7,1.6195846763738335,2.6036949507964624,True,low,large sigma fit error
10.1002_adfm.201602652__sample_19502,SnSe,unknown,p,ok,8,1.6136468494407057,2.802026467731366,True,low,large sigma fit error
10.1002_adfm.201602652__sample_19505,K0.01Sn0.99Se,unknown,p,ok,11,0.6596793116691685,1.1534631273818647,True,low,large validation error
10.1002_adfm.201806558__sample_41880,BiSbSe3,unknown,n,ok,11,0.8609674563888949,1.7107667652338243,True,low,large validation error
10.1002_adfm.201806558__sample_41887,Bi0.5Sb1.5Se3,unknown,n,ok,11,3.6710102796386472,5.520313134936244,True,low,large sigma fit error
10.1002_adfm.201806558__sample_79036,BiSbSe3,unknown,n,ok,11,1.8525558342780248,3.5539442803745858,True,low,large sigma fit error
10.1002_adfm.201905044__sample_83183,TiFe0.5Ni0.5Sb,unknown,p,ok,8,1.0583785799301968,2.1561882567295614,True,low,large sigma fit error
10.1002_adfm.201905044__sample_83184,TiFe0.45Ni0.55Sb,unknown,n,ok,8,0.9433256780150716,1.9338666305345595,True,low,large validation error
10.1002_adfm.201908405__sample_36199,SnCu0.005Se2,unknown,n,ok,11,1.0976261939475125,1.9970229343672623,True,low,large sigma fit error
10.1002_adfm.202102185__sample_45225,PbS,unknown,p,ok,12,0.6472393305534785,1.2159791219120728,True,low,large validation error
10.1002_adfm.202102185__sample_45226,PbSCu0.01,unknown,p,ok,12,0.6550684315799079,1.20222789032457,True,low,large validation error
10.1002_adfm.202102185__sample_45227,Pb0.99Cu0.01S,unknown,p,ok,12,0.6743212104054606,1.0531981833141946,True,low,large validation error
10.1002_adfm.202102185__sample_45228,Pb0.99Cu0.01SCu0.01,unknown,p,ok,12,0.6040278616221207,1.007696940206892,True,low,large validation error
10.1002_adfm.202102185__sample_45229,Pb0.995Li0.005S,unknown,p,ok,12,1.1035394405574488,0.2253612843157094,True,low,large sigma fit error
10.1002_adfm.202102185__sample_45230,Pb0.99Li0.01S,unknown,p,ok,12,0.6393849452625716,1.2753128402436402,True,low,large validation error
10.1002_adfm.202102185__sample_45231,Pb0.985Li0.015S,unknown,p,ok,12,0.6713838080827337,1.3088828104800816,True,low,large validation error
10.1002_adfm.202102185__sample_45232,Pb0.98Li0.02S,unknown,p,ok,12,0.6620600046184023,1.2428125512113777,True,low,large validation error
10.1002_adfm.202102185__sample_45233,PbSCu0.0025,unknown,p,ok,11,0.60912012313776,1.058619679427627,True,low,large validation error
10.1002_adfm.202102185__sample_45234,PbSCu0.005,unknown,p,ok,12,0.6657330830957003,1.1598314229189064,True,low,large validation error
10.1002_adfm.202102185__sample_45235,PbSCu0.015,unknown,p,ok,12,0.6161780090702751,1.1764236954945766,True,low,large validation error
10.1002_adfm.202102185__sample_45236,Pb0.995Cu0.005S,unknown,p,ok,12,0.6800967248207826,1.1320248783115403,True,low,large validation error
10.1002_adfm.202102185__sample_45237,Pb0.985Cu0.015S,unknown,p,ok,12,0.6897445301581863,1.1096094094235016,True,low,large validation error
10.1002_adfm.202102185__sample_45238,Pb0.98Cu0.02S,unknown,p,ok,12,0.7058973062555715,1.1612503959015217,True,low,large validation error
10.1002_adfm.202102185__sample_45239,Pb0.9975Cu0.0025SCu0.0025,unknown,p,ok,12,0.6635370761632465,1.107995311147209,True,low,large validation error
10.1002_adma.201004200__sample_147,Na0.0035Pb0.9965Se1,unknown,p,ok,25,0.6253362470464487,1.0751694391474331,True,low,large validation error
10.1002_adma.201301675__sample_20783,BiCuSeO,unknown,p,ok,11,0.92869258846223,1.4025002381373215,True,low,large validation error
10.1002_adma.201400515__sample_7652,Cu2S,unknown,p,ok,15,0.7378267931754008,1.28036665025728,True,low,large validation error
10.1002_adma.201505922__sample_32232,Poly(nickel-ethylenetetrathiolate),unknown,n,ok,80,4.218109380389163,4.063564262791847,True,low,large sigma fit error
10.1002_adma.201605887__sample_2968,Sn1Mn0.03Te(Cu2Te)0.05,unknown,p,ok,32,0.5300454210590522,1.0031172859233195,True,low,large validation error
10.1002_adma.201605887__sample_2969,Sn0.97Mn0.06Te(Cu2Te)0.05,unknown,p,ok,40,0.6340569991696969,1.0845018538067042,True,low,large validation error
10.1002_adma.201605887__sample_2970,Sn0.94Mn0.09Te(Cu2Te)0.05,unknown,p,ok,35,0.5809395321041234,1.093937775405062,True,low,large validation error
10.1002_adma.201605887__sample_2971,Sn0.91Mn0.12Te(Cu2Te)0.05,unknown,p,ok,24,0.5708734860212694,1.1511907968353874,True,low,large validation error
10.1002_advs.201600035__sample_31640,FeNb0.75Ti0.25Sb,unknown,p,ok,10,0.7623343091846009,1.8553818680625231,True,low,large validation error
10.1002_advs.201600035__sample_31641,Fe1.03Nb0.75Ti0.25Sb,unknown,p,ok,10,0.7319812450379656,1.783952197875203,True,low,large validation error
10.1002_advs.201600035__sample_31642,Fe1.05Nb0.75Ti0.25Sb,unknown,p,ok,10,0.7070000512627256,1.7224142185421818,True,low,large validation error
10.1002_advs.201600035__sample_31643,Fe1.08Nb0.75Ti0.25Sb,unknown,p,ok,10,0.6854603162717641,1.6660916109510886,True,low,large validation error
10.1002_advs.201700727__sample_11297,AgInSe2,unknown,n,ok,12,3.5785792826715053,5.9006312184014025,True,low,large sigma fit error
10.1002_advs.201700727__sample_11298,Ag1.01InSe2,unknown,n,ok,13,2.3112278695110064,3.834679666130493,True,low,large sigma fit error
10.1002_advs.201700727__sample_11299,Ag1.02InSe2,unknown,n,ok,13,2.0843072446302275,3.534112839706167,True,low,large sigma fit error
10.1002_advs.201700727__sample_11300,Ag0.92Cd0.08InSe2,unknown,n,ok,13,1.5511264215439342,1.8403027370007008,True,low,large sigma fit error
10.1002_advs.201700727__sample_11301,Ag0.9Cd0.1InSe2,unknown,n,ok,13,0.8476407631255852,1.0522269375245417,True,low,large validation error
10.1002_aelm.201600019__sample_3207,SnTe,unknown,p,ok,13,0.6957182661504447,1.189633769254358,True,low,large validation error
10.1002_aelm.201600019__sample_3208,(SnTe)0.98(Cu2Te)0.02,unknown,p,ok,19,0.7162252734068372,1.3455305666103916,True,low,large validation error
10.1002_aelm.201600019__sample_3209,(SnTe)0.97(Cu2Te)0.03,unknown,p,ok,28,0.6509913192156624,1.2002605714143375,True,low,large validation error
10.1002_aelm.201600019__sample_3210,(SnTe)0.96(Cu2Te)0.04,unknown,p,ok,29,0.6629703661296296,1.1466717547765966,True,low,large validation error
