feature_name,feature_type,feature_source,feature_description,used_in_feature_matrix_step18,leakage_risk,note
sample_key,metadata,key,Column carried from sample_metadata.,False,none,
SID,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
DOI,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
sample_id,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
paper_title,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
year,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
composition,metadata,sample_metadata,Column carried from sample_metadata.,False,low,
material_system,categorical,sample_metadata,Column carried from sample_metadata.,False,none,
n_or_p,categorical,sample_metadata,Column carried from sample_metadata.,False,none,
n_or_p_basis,metadata,merged_input,Column carried from merged_input.,False,none,
n_or_p_step6,metadata,step6,Column carried from step6.,False,none,
n_or_p_basis_step6,metadata,step6,Column carried from step6.,False,none,
n_or_p_confidence_step6,categorical,step6,Column carried from step6.,False,none,
sintering_method,metadata,merged_input,Column carried from merged_input.,False,low,
sintering_checked,metadata,merged_input,Column carried from merged_input.,False,low,
record_checked,metadata,merged_input,Column carried from merged_input.,False,low,
additive_auto_step9,metadata,step9,Column carried from step9.,False,none,
additive_manual_step9,metadata,step9,Column carried from step9.,False,none,
structure_auto_step9,metadata,step9,Column carried from step9.,False,none,
structure_manual_step9,metadata,step9,Column carried from step9.,False,none,
nanocarbon_keyword_detected_step9,binary,step18_feature_matrix,Column carried from step9.,True,none,
nanocarbon_type_auto_step9,categorical,step9,Column carried from step9.,False,none,
rare_metal_flag_auto_step9,binary,step18_feature_matrix,Column carried from step9.,True,none,
toxicity_flag_auto_step9,binary,step18_feature_matrix,Column carried from step9.,True,none,
fitting_source_preference_step8,metadata,step8,Column carried from step8.,False,none,
fitting_source_actual_step10,categorical,step10,Column carried from step10.,False,none,
sigma_obs_source_step11,metadata,step11,Column carried from step11.,False,none,
tau_eff_step12,quality,step12,Column carried from step12.,False,target_leakage,
log_tau_eff_step12,quality,step12,Column carried from step12.,False,target_leakage,
tau_eff_unit_step12,metadata,step12,Column carried from step12.,False,low,
tau_eff_mode_step12,categorical,step12,Column carried from step12.,False,none,
n_fit_rows_step12,metadata,step12,Column carried from step12.,False,low,
n_fit_temperature_points_step12,metadata,step12,Column carried from step12.,False,none,
temperature_min_fit_step12,metadata,step12,Column carried from step12.,False,none,
temperature_max_fit_step12,metadata,step12,Column carried from step12.,False,none,
temperature_span_fit_step12,metadata,step12,Column carried from step12.,False,none,
sigma_fit_mae_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_rmse_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_mape_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_log_mae_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_log_rmse_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_r2_log_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_fit_bias_log_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
tau_eff_log_std_step12,metadata,step12,Column carried from step12.,False,none,
tau_eff_geometric_std_factor_step12,metadata,step12,Column carried from step12.,False,none,
tau_eff_train_step12,metadata,step12,Column carried from step12.,False,none,
n_train_rows_step12,metadata,step12,Column carried from step12.,False,none,
n_holdout_rows_step12,metadata,step12,Column carried from step12.,False,none,
sigma_holdout_mae_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_holdout_rmse_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_holdout_mape_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_holdout_log_rmse_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
sigma_holdout_r2_log_step12,quality,step12,Column carried from step12.,False,evaluation_leakage,
holdout_eval_status_step12,metadata,step12,Column carried from step12.,False,none,
fit_status_step12,metadata,step12,Column carried from step12.,False,low,
fit_note_step12,metadata,step12,Column carried from step12.,False,none,
prefactor_source_step12,metadata,step12,Column carried from step12.,False,none,
seebeck_obs_V_per_K_step11,metadata,step11,Column carried from step11.,False,none,
kappa_obs_W_per_mK_step11,metadata,step11,Column carried from step11.,False,none,
zt_obs_dimensionless_step11,quality,step11,Column carried from step11.,False,evaluation_leakage,
power_factor_obs_W_per_mK2_step11,metadata,step11,Column carried from step11.,False,none,
zt_calc_from_obs_step11,quality,step11,Column carried from step11.,False,evaluation_leakage,
can_eval_power_factor_step11,metadata,step11,Column carried from step11.,False,none,
can_calc_zt_from_obs_step11,metadata,step11,Column carried from step11.,False,none,
can_compare_zt_obs_step11,quality,step11,Column carried from step11.,False,evaluation_leakage,
row_quality_step11,metadata,step11,Column carried from step11.,False,none,
n_prefactor_available_rows_step12,metadata,step12,Column carried from step12.,False,none,
