sample_key,element_count_step18,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,contains_C_step18,contains_Bi_step18,contains_Te_step18,contains_Se_step18,contains_Sb_step18,contains_Pb_step18,contains_Sn_step18,contains_Ge_step18,contains_Si_step18,contains_Mg_step18,contains_Co_step18,contains_Fe_step18,contains_Cu_step18,contains_Ag_step18,contains_In_step18,contains_Ga_step18,contains_Ca_step18,contains_Na_step18,contains_K_step18,contains_O_step18,contains_N_step18,has_chalcogen_step18,has_pnictogen_step18,has_transition_metal_step18,has_alkali_or_alkaline_step18,has_heavy_element_step18,has_toxic_attention_element_step18,has_rare_metal_attention_element_step18,material_system__unknown,n_or_p_final_step17__n,n_or_p_final_step17__p,n_or_p__n,n_or_p__p,fitting_source_actual_step10__electrical_conductivity,fitting_source_actual_step10__electrical_resistivity,nanocarbon_type_auto_step9__cnt,nanocarbon_type_auto_step9__fullerene,nanocarbon_type_auto_step9__graphene,nanocarbon_type_auto_step9__unknown,additive_final_step17__coated,additive_final_step17__composite_nanocomposite,additive_final_step17__doped,additive_final_step17__unknown,structure_final_step17__1d,structure_final_step17__2d,structure_final_step17__nanocomposite,structure_final_step17__nanostructure,structure_final_step17__nanotube,structure_final_step17__nanotube_thin_film_film,structure_final_step17__unknown,sintering_method_final_step17__unknown
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
10.1002_adem.201200233__sample_18985,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201200233__sample_18987,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201200233__sample_18989,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19725,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19726,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19727,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19728,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19729,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19730,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19731,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adem.201400183__sample_19735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adfm.200400109__sample_3326,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adfm.200400109__sample_3327,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adfm.200400109__sample_3328,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10.1002_adfm.200400109__sample_3329,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
