sample_key,split_random_80_20_step18,split_random_70_15_15_step18,split_doi_group_80_20_step18,split_material_system_group_step18
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409,train,train,train,not_assigned
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410,test,train,train,not_assigned
10.1002_adem.201200233__sample_18985,train,train,train,not_assigned
10.1002_adem.201200233__sample_18987,train,valid,train,not_assigned
10.1002_adem.201200233__sample_18989,train,valid,train,not_assigned
10.1002_adem.201400183__sample_19725,train,test,train,not_assigned
10.1002_adem.201400183__sample_19726,train,valid,train,not_assigned
10.1002_adem.201400183__sample_19727,train,train,train,not_assigned
10.1002_adem.201400183__sample_19728,train,valid,train,not_assigned
10.1002_adem.201400183__sample_19729,train,train,train,not_assigned
10.1002_adem.201400183__sample_19730,train,train,train,not_assigned
10.1002_adem.201400183__sample_19731,train,train,train,not_assigned
10.1002_adem.201400183__sample_19732,train,train,train,not_assigned
10.1002_adem.201400183__sample_19733,train,train,train,not_assigned
10.1002_adem.201400183__sample_19734,test,test,train,not_assigned
10.1002_adem.201400183__sample_19735,test,train,train,not_assigned
10.1002_adfm.200400109__sample_3326,train,train,train,not_assigned
10.1002_adfm.200400109__sample_3327,train,train,train,not_assigned
10.1002_adfm.200400109__sample_3328,train,train,train,not_assigned
10.1002_adfm.200400109__sample_3329,train,train,train,not_assigned
10.1002_adfm.200500043__sample_5861,train,train,test,not_assigned
10.1002_adfm.200500043__sample_5862,test,valid,test,not_assigned
10.1002_adfm.200500043__sample_5863,test,train,test,not_assigned
10.1002_adfm.200500043__sample_5864,train,train,test,not_assigned
10.1002_adfm.200500043__sample_5865,train,train,test,not_assigned
10.1002_adfm.200800298__sample_5866,train,test,test,not_assigned
10.1002_adfm.200800298__sample_5867,train,train,test,not_assigned
10.1002_adfm.200800298__sample_5868,train,test,test,not_assigned
10.1002_adfm.200800298__sample_5869,train,train,test,not_assigned
10.1002_adfm.200800298__sample_5870,train,train,test,not_assigned
10.1002_adfm.200800298__sample_5871,test,test,test,not_assigned
10.1002_adfm.200800298__sample_5872,train,train,test,not_assigned
10.1002_adfm.200900250__sample_19005,train,train,train,not_assigned
10.1002_adfm.200900250__sample_19007,train,valid,train,not_assigned
10.1002_adfm.200901261__sample_1417,test,train,train,not_assigned
10.1002_adfm.200901905__sample_255,train,train,train,not_assigned
10.1002_adfm.201000878__sample_26722,train,valid,train,not_assigned
10.1002_adfm.201000878__sample_26723,train,valid,train,not_assigned
10.1002_adfm.201000878__sample_26724,train,train,train,not_assigned
10.1002_adfm.201000878__sample_26725,train,valid,train,not_assigned
10.1002_adfm.201000970__sample_5873,train,valid,train,not_assigned
10.1002_adfm.201000970__sample_5874,train,train,train,not_assigned
10.1002_adfm.201000970__sample_5875,train,valid,train,not_assigned
10.1002_adfm.201001307__sample_16928,train,train,train,not_assigned
10.1002_adfm.201001307__sample_16929,test,valid,train,not_assigned
10.1002_adfm.201001307__sample_16930,train,train,train,not_assigned
10.1002_adfm.201102792__sample_20683,test,test,train,not_assigned
10.1002_adfm.201102792__sample_20684,train,valid,train,not_assigned
10.1002_adfm.201102792__sample_20685,train,train,train,not_assigned
10.1002_adfm.201103049__sample_21067,train,train,train,not_assigned
10.1002_adfm.201103049__sample_21068,train,test,train,not_assigned
10.1002_adfm.201103049__sample_21069,test,test,train,not_assigned
10.1002_adfm.201103049__sample_21070,train,train,train,not_assigned
10.1002_adfm.201103049__sample_21071,train,valid,train,not_assigned
10.1002_adfm.201201221__sample_209,train,train,train,not_assigned
10.1002_adfm.201201221__sample_313,train,train,train,not_assigned
10.1002_adfm.201201221__sample_328,train,train,train,not_assigned
10.1002_adfm.201201221__sample_360,train,train,train,not_assigned
10.1002_adfm.201202571__sample_4922,train,train,train,not_assigned
10.1002_adfm.201202571__sample_4923,train,train,train,not_assigned
10.1002_adfm.201202571__sample_4924,test,valid,train,not_assigned
10.1002_adfm.201202571__sample_4925,test,train,train,not_assigned
10.1002_adfm.201202571__sample_4926,train,train,train,not_assigned
10.1002_adfm.201202571__sample_4927,train,test,train,not_assigned
10.1002_adfm.201300146__sample_1422,train,valid,train,not_assigned
10.1002_adfm.201300146__sample_1424,train,test,train,not_assigned
10.1002_adfm.201300663__sample_81424,train,valid,train,not_assigned
10.1002_adfm.201300663__sample_81425,train,train,train,not_assigned
10.1002_adfm.201300663__sample_81426,train,valid,train,not_assigned
10.1002_adfm.201300663__sample_81427,train,test,train,not_assigned
10.1002_adfm.201400123__sample_8245,train,train,test,not_assigned
10.1002_adfm.201400123__sample_8246,train,train,test,not_assigned
10.1002_adfm.201400123__sample_8247,train,train,test,not_assigned
10.1002_adfm.201400123__sample_8248,train,train,test,not_assigned
10.1002_adfm.201400123__sample_8249,train,train,test,not_assigned
10.1002_adfm.201400474__sample_26729,test,train,test,not_assigned
10.1002_adfm.201400474__sample_26730,train,test,test,not_assigned
10.1002_adfm.201400474__sample_26731,train,test,test,not_assigned
10.1002_adfm.201400474__sample_26732,train,test,test,not_assigned
10.1002_adfm.201400474__sample_26733,train,train,test,not_assigned
10.1002_adfm.201400474__sample_26734,train,valid,test,not_assigned
10.1002_adfm.201400474__sample_26735,train,valid,test,not_assigned
10.1002_adfm.201402211__sample_7641,test,valid,train,not_assigned
10.1002_adfm.201402211__sample_7642,train,valid,train,not_assigned
10.1002_adfm.201402211__sample_7643,train,train,train,not_assigned
10.1002_adfm.201402663__sample_26754,test,train,train,not_assigned
10.1002_adfm.201402663__sample_26755,train,train,train,not_assigned
10.1002_adfm.201402663__sample_26756,train,train,train,not_assigned
10.1002_adfm.201402663__sample_26757,train,train,train,not_assigned
10.1002_adfm.201402663__sample_26758,test,train,train,not_assigned
10.1002_adfm.201402663__sample_26759,train,train,train,not_assigned
10.1002_adfm.201402663__sample_26760,train,train,train,not_assigned
10.1002_adfm.201502782__sample_26765,train,train,train,not_assigned
10.1002_adfm.201502782__sample_26766,train,test,train,not_assigned
10.1002_adfm.201502782__sample_26767,train,train,train,not_assigned
10.1002_adfm.201502782__sample_26768,train,train,train,not_assigned
10.1002_adfm.201503022__sample_13340,train,valid,train,not_assigned
10.1002_adfm.201503022__sample_13341,train,train,train,not_assigned
10.1002_adfm.201600718__sample_19144,train,test,train,not_assigned
10.1002_adfm.201601486__sample_14503,train,valid,train,not_assigned
10.1002_adfm.201601486__sample_14504,test,train,train,not_assigned
10.1002_adfm.201601486__sample_14505,test,valid,train,not_assigned
10.1002_adfm.201601486__sample_14506,train,train,train,not_assigned
10.1002_adfm.201601486__sample_14507,train,train,train,not_assigned
10.1002_adfm.201601486__sample_14508,train,train,train,not_assigned
10.1002_adfm.201601486__sample_14509,train,valid,train,not_assigned
10.1002_adfm.201601486__sample_14510,train,test,train,not_assigned
10.1002_adfm.201601486__sample_14511,train,train,train,not_assigned
10.1002_adfm.201601486__sample_14512,train,test,train,not_assigned
10.1002_adfm.201602652__sample_19500,train,train,train,not_assigned
10.1002_adfm.201602652__sample_19501,train,train,train,not_assigned
10.1002_adfm.201602652__sample_19502,train,test,train,not_assigned
10.1002_adfm.201602652__sample_19503,train,train,train,not_assigned
10.1002_adfm.201602652__sample_19504,train,train,train,not_assigned
10.1002_adfm.201602652__sample_19505,test,test,train,not_assigned
10.1002_adfm.201606361__sample_31213,test,train,train,not_assigned
10.1002_adfm.201606361__sample_31214,test,train,train,not_assigned
10.1002_adfm.201606361__sample_31215,test,train,train,not_assigned
10.1002_adfm.201606361__sample_31216,train,train,train,not_assigned
10.1002_adfm.201606361__sample_31217,test,train,train,not_assigned
10.1002_adfm.201606361__sample_31218,train,test,train,not_assigned
10.1002_adfm.201606361__sample_31219,train,train,train,not_assigned
10.1002_adfm.201606361__sample_31220,test,valid,train,not_assigned
10.1002_adfm.201606361__sample_31221,train,train,train,not_assigned
10.1002_adfm.201705845__sample_83049,train,train,train,not_assigned
10.1002_adfm.201705845__sample_83050,train,train,train,not_assigned
10.1002_adfm.201705845__sample_83051,train,train,train,not_assigned
10.1002_adfm.201705845__sample_83052,train,valid,train,not_assigned
10.1002_adfm.201705845__sample_83053,test,train,train,not_assigned
10.1002_adfm.201705845__sample_83054,test,valid,train,not_assigned
10.1002_adfm.201705845__sample_83055,train,valid,train,not_assigned
10.1002_adfm.201801617__sample_39932,train,test,train,not_assigned
10.1002_adfm.201801617__sample_39933,train,train,train,not_assigned
10.1002_adfm.201801617__sample_39934,train,train,train,not_assigned
10.1002_adfm.201801617__sample_39935,train,valid,train,not_assigned
10.1002_adfm.201801617__sample_39937,train,valid,train,not_assigned
10.1002_adfm.201801617__sample_39938,train,train,train,not_assigned
10.1002_adfm.201801617__sample_39939,test,valid,train,not_assigned
10.1002_adfm.201801617__sample_39940,train,train,train,not_assigned
10.1002_adfm.201801617__sample_39941,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41880,train,test,train,not_assigned
10.1002_adfm.201806558__sample_41881,test,train,train,not_assigned
10.1002_adfm.201806558__sample_41882,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41883,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41884,test,train,train,not_assigned
10.1002_adfm.201806558__sample_41885,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41886,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41887,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41912,train,train,train,not_assigned
10.1002_adfm.201806558__sample_41913,train,test,train,not_assigned
10.1002_adfm.201806558__sample_79036,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41570,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41571,train,test,train,not_assigned
10.1002_adfm.201806613__sample_41572,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41573,train,test,train,not_assigned
10.1002_adfm.201806613__sample_41580,train,test,train,not_assigned
10.1002_adfm.201806613__sample_41581,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41582,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41584,train,valid,train,not_assigned
10.1002_adfm.201806613__sample_41585,train,train,train,not_assigned
10.1002_adfm.201806613__sample_41595,train,train,train,not_assigned
10.1002_adfm.201900615__sample_41898,train,train,train,not_assigned
10.1002_adfm.201900615__sample_41899,train,train,train,not_assigned
10.1002_adfm.201900615__sample_41900,train,train,train,not_assigned
10.1002_adfm.201900615__sample_41901,train,train,train,not_assigned
10.1002_adfm.201902437__sample_41411,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41412,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41413,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41414,train,test,test,not_assigned
10.1002_adfm.201902437__sample_41415,test,valid,test,not_assigned
10.1002_adfm.201902437__sample_41416,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41417,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41418,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41419,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41420,test,train,test,not_assigned
10.1002_adfm.201902437__sample_41421,test,train,test,not_assigned
10.1002_adfm.201902437__sample_41422,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41423,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41424,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41425,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41426,test,test,test,not_assigned
10.1002_adfm.201902437__sample_41427,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41428,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41429,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41430,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41431,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41432,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41433,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41434,train,valid,test,not_assigned
10.1002_adfm.201902437__sample_41435,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41436,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41437,train,train,test,not_assigned
10.1002_adfm.201902437__sample_41438,train,train,test,not_assigned
10.1002_adfm.201903157__sample_45714,train,train,train,not_assigned
10.1002_adfm.201903157__sample_45715,train,test,train,not_assigned
10.1002_adfm.201903157__sample_45716,train,train,train,not_assigned
10.1002_adfm.201903157__sample_45717,train,train,train,not_assigned
10.1002_adfm.201903157__sample_45718,test,train,train,not_assigned
10.1002_adfm.201904112__sample_41019,train,train,train,not_assigned
10.1002_adfm.201904112__sample_41020,train,train,train,not_assigned
10.1002_adfm.201905044__sample_83181,train,train,test,not_assigned
10.1002_adfm.201905044__sample_83182,test,train,test,not_assigned
10.1002_adfm.201905044__sample_83183,train,train,test,not_assigned
10.1002_adfm.201905044__sample_83184,train,test,test,not_assigned
10.1002_adfm.201905044__sample_83185,train,train,test,not_assigned
10.1002_adfm.201906143__sample_27119,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27123,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27124,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27127,train,valid,train,not_assigned
10.1002_adfm.201906143__sample_27128,train,test,train,not_assigned
10.1002_adfm.201906143__sample_27129,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27130,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27131,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27132,test,valid,train,not_assigned
