sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409,-0.9444901787209772,0.3888777785386625,True,medium,ok,True,ok
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410,-2.155684118540388,0.1158239262075064,True,medium,ok,True,ok
10.1002_adem.201200233__sample_18985,-0.7757909595090949,0.4603395270365666,True,medium,ok,True,ok
10.1002_adem.201200233__sample_18987,0.1785703562215087,1.1955069916693906,True,medium,ok,True,ok
10.1002_adem.201200233__sample_18989,0.6634142981453016,1.9414095824815043,True,medium,ok,True,ok
10.1002_adem.201400183__sample_19725,-3.5298679485030195,0.0293087858805648,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19726,-2.2054382060012347,0.1102022234465124,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19727,-1.719214648454893,0.1792068330238361,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19728,-1.5696214478217885,0.2081239532224688,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19729,-1.1958317621627743,0.3024522811670872,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19730,-1.21652927831477,0.2962566088833061,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19731,-1.778148574066867,0.1689506575132818,True,low,ok,False,large sigma fit error
10.1002_adem.201400183__sample_19732,-1.0278260473998395,0.3577839210109408,True,low,ok,True,ok
10.1002_adem.201400183__sample_19733,-1.4015734261750867,0.2462092669101566,True,low,ok,False,large validation error
10.1002_adem.201400183__sample_19734,-1.4587356794106716,0.2325300815273426,True,low,ok,False,large validation error
10.1002_adem.201400183__sample_19735,-2.1826337862258645,0.112744195145045,True,low,ok,True,ok
10.1002_adfm.200400109__sample_3326,-0.2306968904755377,0.793980092493583,True,medium,ok,True,ok
10.1002_adfm.200400109__sample_3327,-0.3603686425527569,0.6974191802895409,True,medium,ok,True,ok
10.1002_adfm.200400109__sample_3328,-0.3896589012507547,0.67728785714293,True,medium,ok,True,ok
10.1002_adfm.200400109__sample_3329,-0.5190759757985445,0.5950701532299567,True,medium,ok,True,ok
10.1002_adfm.200500043__sample_5861,-0.0636634314958477,0.9383207556041028,True,medium,ok,True,ok
10.1002_adfm.200500043__sample_5862,0.0109314869974063,1.0109914540117415,True,medium,ok,True,ok
10.1002_adfm.200500043__sample_5863,0.189575272785034,1.2087361054982062,True,medium,ok,True,ok
10.1002_adfm.200500043__sample_5864,0.7963773401093341,2.2174931366435278,True,medium,ok,True,ok
10.1002_adfm.200500043__sample_5865,1.8390441189686288,6.290522395223704,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5866,0.2667327109910647,1.3056914027239632,True,low,ok,True,ok
10.1002_adfm.200800298__sample_5867,0.2213116654894417,1.2477122388174535,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5868,-0.1177674303327896,0.8889027603958733,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5869,0.0372193195642689,1.0379206321782295,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5870,-0.4210516147761508,0.6563562228553439,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5871,-0.9077026313646522,0.4034500336166533,True,medium,ok,True,ok
10.1002_adfm.200800298__sample_5872,,,False,exclude,missing or invalid target or fit_status not ok; validation_sigma_log_rmse_step13 missing; too few fit rows,False,missing target
10.1002_adfm.200900250__sample_19005,1.3859399224846003,3.99858249668265,True,medium,ok,True,ok
10.1002_adfm.200900250__sample_19007,1.809716381373785,6.108714641261835,True,medium,ok,True,ok
