group_name,group_value,n_samples,log_tau_mae,log_tau_rmse,log_tau_r2,tau_eff_mape,within_tau_factor_2_rate,median_target_log_tau_eff,median_pred_log_tau_eff,note
material_system,unknown,3201,1.0683280414737977,1.8249169464849557,-0.18786114503275475,6055.235536742202,0.5292096219931272,0.2271649594444217,0.07416918251937359,primary split test; selected model
n_or_p,n,1586,1.0004094514919974,1.623931522535351,-0.12461415434782963,66.31723587195084,0.5479192938209332,0.09346439625566065,0.04340321688619931,primary split test; selected model
n_or_p,p,1615,1.1350270406757392,2.002758884341015,-0.24280807914069746,11936.61288979497,0.5108359133126935,0.35553847269635,0.11354569919903038,primary split test; selected model
n_or_p_final_step17,n,1586,1.0004094514919974,1.623931522535351,-0.12461415434782963,66.31723587195084,0.5479192938209332,0.09346439625566065,0.04340321688619931,primary split test; selected model
n_or_p_final_step17,p,1615,1.1350270406757392,2.002758884341015,-0.24280807914069746,11936.61288979497,0.5108359133126935,0.35553847269635,0.11354569919903038,primary split test; selected model
nanocarbon_keyword_detected_step9,False,3201,1.0683280414737977,1.8249169464849557,-0.18786114503275475,6055.235536742202,0.5292096219931272,0.2271649594444217,0.07416918251937359,primary split test; selected model
rare_metal_flag_auto_step9,False,474,1.4330755591235027,2.4990521250672058,-0.4557726220588998,1140.631925519253,0.46835443037974683,-0.08073491967844515,-0.311597060733946,primary split test; selected model
rare_metal_flag_auto_step9,True,2727,1.0049285829604275,1.6803733756381467,-0.11427552184408118,6909.479068725947,0.5397873120645398,0.2632074324214341,0.0975198525723956,primary split test; selected model
toxicity_flag_auto_step9,False,977,1.4500306743503282,2.5217660537379647,-0.3616493086187855,19692.796388564588,0.4718526100307062,-0.0303210006751646,-0.14831190061487506,primary split test; selected model
toxicity_flag_auto_step9,True,2224,0.9006466240635592,1.4141054958233825,-0.021516037927592935,64.27467692634066,0.5544064748201439,0.31386123238754426,0.12331997519669353,primary split test; selected model
target_quality_step18,low,488,1.454216354294642,2.516752477629561,-0.4353025365765433,38320.09228194238,0.4569672131147541,-0.03592053104715445,-0.11761907120452744,primary split test; selected model
target_quality_step18,medium,2713,0.9989165056623079,1.6703378354400775,-0.13613648049800897,251.60483579944926,0.5422042019904165,0.2728701869442323,0.09299786895473862,primary split test; selected model
