feature_name,used_in_model_step19,status,imputation_value,note
element_count_step18,True,used,3.0,imputation_median=3.0
nanocarbon_keyword_detected_step9,True,used,0.0,imputation_median=0.0
rare_metal_flag_auto_step9,True,used,1.0,imputation_median=1.0
toxicity_flag_auto_step9,True,used,1.0,imputation_median=1.0
contains_C_step18,True,used,0.0,imputation_median=0.0
contains_Bi_step18,True,used,0.0,imputation_median=0.0
contains_Te_step18,True,used,0.0,imputation_median=0.0
contains_Se_step18,True,used,0.0,imputation_median=0.0
contains_Sb_step18,True,used,0.0,imputation_median=0.0
contains_Pb_step18,True,used,0.0,imputation_median=0.0
contains_Sn_step18,True,used,0.0,imputation_median=0.0
contains_Ge_step18,True,used,0.0,imputation_median=0.0
contains_Si_step18,True,used,0.0,imputation_median=0.0
contains_Mg_step18,True,used,0.0,imputation_median=0.0
contains_Co_step18,True,used,0.0,imputation_median=0.0
contains_Fe_step18,True,used,0.0,imputation_median=0.0
contains_Cu_step18,True,used,0.0,imputation_median=0.0
contains_Ag_step18,True,used,0.0,imputation_median=0.0
contains_In_step18,True,used,0.0,imputation_median=0.0
contains_Ga_step18,True,used,0.0,imputation_median=0.0
contains_Ca_step18,True,used,0.0,imputation_median=0.0
contains_Na_step18,True,used,0.0,imputation_median=0.0
contains_K_step18,True,used,0.0,imputation_median=0.0
contains_O_step18,True,used,0.0,imputation_median=0.0
contains_N_step18,True,used,0.0,imputation_median=0.0
has_chalcogen_step18,True,used,0.0,imputation_median=0.0
has_pnictogen_step18,True,used,1.0,imputation_median=1.0
has_transition_metal_step18,True,used,1.0,imputation_median=1.0
has_alkali_or_alkaline_step18,True,used,0.0,imputation_median=0.0
has_heavy_element_step18,True,used,1.0,imputation_median=1.0
has_toxic_attention_element_step18,True,used,1.0,imputation_median=1.0
has_rare_metal_attention_element_step18,True,used,1.0,imputation_median=1.0
material_system__unknown,False,removed_zero_variance,1.0,
n_or_p_final_step17__n,True,used,0.0,imputation_median=0.0
n_or_p_final_step17__p,True,used,1.0,imputation_median=1.0
n_or_p__n,True,used,0.0,imputation_median=0.0
n_or_p__p,True,used,1.0,imputation_median=1.0
fitting_source_actual_step10__electrical_conductivity,True,used,1.0,imputation_median=1.0
fitting_source_actual_step10__electrical_resistivity,True,used,0.0,imputation_median=0.0
nanocarbon_type_auto_step9__cnt,True,used,0.0,imputation_median=0.0
nanocarbon_type_auto_step9__fullerene,True,used,0.0,imputation_median=0.0
nanocarbon_type_auto_step9__graphene,False,removed_zero_variance,0.0,
nanocarbon_type_auto_step9__unknown,True,used,1.0,imputation_median=1.0
additive_final_step17__coated,False,removed_zero_variance,0.0,
additive_final_step17__composite_nanocomposite,False,removed_zero_variance,0.0,
additive_final_step17__doped,True,used,0.0,imputation_median=0.0
additive_final_step17__unknown,True,used,1.0,imputation_median=1.0
structure_final_step17__1d,True,used,0.0,imputation_median=0.0
structure_final_step17__2d,True,used,0.0,imputation_median=0.0
structure_final_step17__nanocomposite,False,removed_zero_variance,0.0,
structure_final_step17__nanostructure,True,used,0.0,imputation_median=0.0
structure_final_step17__nanotube,True,used,0.0,imputation_median=0.0
structure_final_step17__nanotube_thin_film_film,True,used,0.0,imputation_median=0.0
structure_final_step17__unknown,True,used,1.0,imputation_median=1.0
sintering_method_final_step17__unknown,False,removed_zero_variance,1.0,
