model_name,split_name,split_role,model_note,n_samples,mae_log_tau,rmse_log_tau,r2_log_tau,log_tau_pearson,log_tau_spearman,mae_tau,rmse_tau,mape_tau,tau_eff_median_absolute_relative_error,median_multiplicative_error,within_log_0_25_rate,within_log_0_50_rate,within_tau_factor_2_rate,within_tau_factor_3_rate,within_factor_10_rate,bias_log_tau,median_abs_error_log_tau,is_selection_metric,is_primary_evaluation,metric_rank
baseline_mean,split_random_80_20_step18,train,,12522,1.2224829448177226,1.9372275901886442,0.0,,,304801352264.4954,26174040333731.684,4174208.5307884216,0.6694015713687671,2.4238538047401175,0.14742053984986425,0.2933237501996486,0.39642229675770646,0.594553585689187,0.887158600862482,0.0,0.8853587544482086,False,False,
baseline_mean,split_random_80_20_step18,test,,3101,1.197053160645212,1.7546426248958182,-0.00029479282201338997,,,4.567520581600695,62.740879314568055,10790052.977237148,0.6703230678525987,2.419488097527998,0.16123831022250887,0.2950661077071912,0.4037407287971622,0.600773943889068,0.8851983231215736,-0.030121952794081367,0.883555987845872,False,False,
baseline_mean,split_random_70_15_15_step18,train,,10950,1.2176758980757045,1.9052065824210564,0.0,6.982129062605838e-18,,247762675815.2069,25926443282500.742,7115144.496943176,0.6705695460509145,2.4215244547165193,0.14986301369863014,0.2919634703196347,0.3971689497716895,0.5952511415525115,0.8872146118721461,4.5422823290600014e-17,0.8843972789347847,False,False,
baseline_mean,split_random_70_15_15_step18,valid,,2346,1.237220702317929,1.883024609041341,-2.8100771509720346e-06,,,4.4162920428868935,53.92516117488137,1623526.3995798933,0.6748135353117555,2.47733603000817,0.13597612958226768,0.289002557544757,0.3908780903665814,0.5895140664961637,0.881074168797954,-0.0031565633331674925,0.907183798801606,True,False,5.0
baseline_mean,split_random_70_15_15_step18,test,,2327,1.1982117013096487,1.9085144451116693,-0.0006036672935565424,,,474310800551.48456,22880273196478.043,1668761.8659385603,0.6622981527410988,2.375383653425341,0.1654490760636012,0.3046841426729695,0.4069617533304684,0.6016330038676407,0.8899871078642029,-0.046877369074382544,0.8651589627250549,False,False,
baseline_mean,split_doi_group_80_20_step18,train,,12422,1.2420960749689962,1.955656930003855,0.0,,,307255074307.61224,26279182720301.098,6734141.732019551,0.6775196414507096,2.458259593555236,0.1442601835453228,0.2845757526968282,0.38737723393978424,0.5880695540170665,0.8806150378360973,-1.3728083769314446e-17,0.8994536165997431,False,False,
baseline_mean,split_doi_group_80_20_step18,test,,3201,1.1449572631593479,1.6810063034922693,-0.007901641396965031,1.789690910500058e-17,,6.586668160014928,87.25226684202917,506.10263646293913,0.649991582366476,2.3602482111660144,0.16151202749140894,0.3105279600124961,0.4164323648859731,0.6116838487972509,0.9087785067166511,-0.14883974721837673,0.8587667877299853,False,True,
ridge_regression,split_random_80_20_step18,train,Ridge alpha selected on validation split: 0.1,12522,1.0940037286168363,1.820114511638408,0.11725323804333854,0.34242260155466275,0.41830184141351434,304801352264.3624,26174040333731.69,1875738.37779554,0.6120496485971503,2.1104185187381588,0.18271841558856414,0.357211308097748,0.4702124261300112,0.6619549592716818,0.9063248682319118,-5.674355021243413e-18,0.7468862730293998,False,False,
ridge_regression,split_random_80_20_step18,test,Ridge alpha selected on validation split: 0.1,3101,1.084103455536662,1.6549762122300005,0.11011442061276489,0.3349324230543721,0.40437272183047557,4.446981101556399,62.71866728167129,2427099.9376323367,0.6215485738553557,2.1002813337746367,0.17607223476297967,0.3473073202192841,0.46952595936794583,0.6581747823282812,0.9003547242824895,-0.03472119095453662,0.7420713042205169,False,False,
ridge_regression,split_random_70_15_15_step18,train,Ridge alpha selected on validation split: 0.1,10950,1.0900054680356992,1.7880982648174433,0.1191567779697481,0.34519092975358473,0.4156249748216605,247762675815.07544,25926443282500.746,1808369.8442992421,0.6114185515689744,2.0969441012141727,0.18228310502283104,0.35378995433789956,0.47141552511415524,0.6635616438356164,0.9061187214611872,-7.008092736264002e-17,0.7404810903702235,False,False,
