sample_key,material_system,n_or_p,composition,DOI,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,target_tau_eff_step18,pred_tau_eff_step19,tau_eff_ratio_pred_true_step19,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,zt_obs_max_step14,zt_pred_max_step14,manual_review_status_step17,paper_checked_step17,residual_category_step19,residual_note_step19,additive_final_step17,structure_final_step17,manual_review_status_step17__rec,tau_eff_ml_problem_reason_step19,needs_manual_review_for_ml_step19
10.1016_j.actamat.2008.12.039__sample_10165,unknown,p,Ru0.24Re0.73Si1.67,10.1016/j.actamat.2008.12.039,-12.991152210399155,2.880874564216054,15.87202677461521,15.87202677461521,2.2804170606251843e-06,17.82985972019195,7818683.708366851,low,0.1924954836386312,,,,unknown,no,large_over_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff overprediction; low target quality; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1016_j.actamat.2008.12.039__sample_10221,unknown,p,Ru0.24Re0.73Si1.6032Al0.0668,10.1016/j.actamat.2008.12.039,-12.81486925346839,2.7815978730935176,15.596467126561906,15.596467126561906,2.720025633912092e-06,16.144797686388152,5935531.446873832,low,0.1705036668402237,,,,unknown,no,large_over_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff overprediction; low target quality; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1016_j.actamat.2008.12.039__sample_10220,unknown,p,Ru0.24Re0.73Si1.5364Al0.1336,10.1016/j.actamat.2008.12.039,-12.628415092779209,2.7815978730935176,15.410012965872726,15.410012965872726,3.2775476176008426e-06,16.144797686388152,4925877.384569048,low,0.1847919258426769,,,,unknown,no,large_over_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff overprediction; low target quality; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1103_physrevb.82.104420__sample_2864,unknown,n,Co2Mn0.8Ti0.2Sn,10.1103/physrevb.82.104420,2.1293711284221843,-11.062829703506422,-13.192200831928606,13.192200831928606,8.409576604476058,1.5684623765519004e-05,1.865090777242073e-06,medium,0.1376452209007468,0.3097542688811073,,,unknown,no,large_under_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff underprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1063_1.5095247__sample_46402,unknown,p,Ca3SiO,10.1063/1.5095247,-11.841036187512705,0.806415768469036,12.64745195598174,12.64745195598174,7.202832636957291e-06,2.2398653858736957,310970.07229920686,medium,0.3244996681326071,0.4254400033599566,,,unknown,no,large_over_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff overprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1103_physrevb.82.104420__sample_2866,unknown,n,Co2Mn0.4Ti0.6Sn,10.1103/physrevb.82.104420,1.312809965328961,-11.062829703506422,-12.375639668835383,12.375639668835383,3.716602577357249,1.5684623765519004e-05,4.220150914460112e-06,medium,0.143588997441039,0.3116348418318126,,,unknown,no,large_under_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff underprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1103_physrevb.92.125106__sample_46405,unknown,p,(Ca2CoO2.94)0.62(CoO2),10.1103/physrevb.92.125106,-12.420302928369363,-0.08388682616570103,12.336416102203662,12.336416102203662,4.035812439748182e-06,0.9195353175441568,227843.91774200788,medium,0.4349306778680181,0.1394065700275811,,,unknown,no,large_over_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff overprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1103_physrevb.82.104420__sample_2865,unknown,n,Co2Mn0.6Ti0.4Sn,10.1103/physrevb.82.104420,1.14394240203789,-11.062829703506422,-12.206772105544312,12.206772105544312,3.139119674076196,1.5684623765519004e-05,4.996503922754966e-06,medium,0.0674440766900852,0.0968502067163305,,,unknown,no,large_under_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff underprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1016_j.actamat.2010.04.028__sample_10267,unknown,p,Zr30.1Ni25.6Co13.9Sn30.4,10.1016/j.actamat.2010.04.028,0.7233871634292577,-11.062829703506422,-11.78621686693568,11.78621686693568,2.0614037101289977,1.5684623765519004e-05,7.608710360057273e-06,low,0.4747073508434627,0.959831829523121,,,unknown,no,large_under_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff underprediction; low target quality; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
10.1021_acs.chemmater.5b03365__sample_6724,unknown,p,La1.197S1.197NbS2,10.1021/acs.chemmater.5b03365,1.3190548682574612,-10.281494881638993,-11.600549749896455,11.600549749896455,3.739885022315416,3.426127392797242e-05,9.161050065320131e-06,medium,0.2339552053285194,0.1457662115772196,,,unknown,no,large_under_prediction,selected model primary split test residual,unknown,unknown,unknown,large tau_eff underprediction; manual annotation missing; possible material-system outlier; possibly missing additive/structure feature,True
