sample_key,material_system,n_or_p,composition,DOI,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,target_tau_eff_step18,pred_tau_eff_step19,tau_eff_ratio_pred_true_step19,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,zt_obs_max_step14,zt_pred_max_step14,manual_review_status_step17,paper_checked_step17,residual_category_step19,residual_note_step19
10.1016_j.actamat.2008.12.039__sample_10165,unknown,p,Ru0.24Re0.73Si1.67,10.1016/j.actamat.2008.12.039,-12.991152210399155,2.880874564216054,15.87202677461521,15.87202677461521,2.2804170606251843e-06,17.82985972019195,7818683.708366851,low,0.1924954836386312,,,,unknown,no,large_over_prediction,selected model primary split test residual
10.1016_j.actamat.2008.12.039__sample_10221,unknown,p,Ru0.24Re0.73Si1.6032Al0.0668,10.1016/j.actamat.2008.12.039,-12.81486925346839,2.7815978730935176,15.596467126561906,15.596467126561906,2.720025633912092e-06,16.144797686388152,5935531.446873832,low,0.1705036668402237,,,,unknown,no,large_over_prediction,selected model primary split test residual
10.1016_j.actamat.2008.12.039__sample_10220,unknown,p,Ru0.24Re0.73Si1.5364Al0.1336,10.1016/j.actamat.2008.12.039,-12.628415092779209,2.7815978730935176,15.410012965872726,15.410012965872726,3.2775476176008426e-06,16.144797686388152,4925877.384569048,low,0.1847919258426769,,,,unknown,no,large_over_prediction,selected model primary split test residual
10.1103_physrevb.82.104420__sample_2864,unknown,n,Co2Mn0.8Ti0.2Sn,10.1103/physrevb.82.104420,2.1293711284221843,-11.062829703506422,-13.192200831928606,13.192200831928606,8.409576604476058,1.5684623765519004e-05,1.865090777242073e-06,medium,0.1376452209007468,0.3097542688811073,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1063_1.5095247__sample_46402,unknown,p,Ca3SiO,10.1063/1.5095247,-11.841036187512705,0.806415768469036,12.64745195598174,12.64745195598174,7.202832636957291e-06,2.2398653858736957,310970.07229920686,medium,0.3244996681326071,0.4254400033599566,,,unknown,no,large_over_prediction,selected model primary split test residual
10.1103_physrevb.82.104420__sample_2866,unknown,n,Co2Mn0.4Ti0.6Sn,10.1103/physrevb.82.104420,1.312809965328961,-11.062829703506422,-12.375639668835383,12.375639668835383,3.716602577357249,1.5684623765519004e-05,4.220150914460112e-06,medium,0.143588997441039,0.3116348418318126,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1103_physrevb.92.125106__sample_46405,unknown,p,(Ca2CoO2.94)0.62(CoO2),10.1103/physrevb.92.125106,-12.420302928369363,-0.08388682616570103,12.336416102203662,12.336416102203662,4.035812439748182e-06,0.9195353175441568,227843.91774200788,medium,0.4349306778680181,0.1394065700275811,,,unknown,no,large_over_prediction,selected model primary split test residual
10.1103_physrevb.82.104420__sample_2865,unknown,n,Co2Mn0.6Ti0.4Sn,10.1103/physrevb.82.104420,1.14394240203789,-11.062829703506422,-12.206772105544312,12.206772105544312,3.139119674076196,1.5684623765519004e-05,4.996503922754966e-06,medium,0.0674440766900852,0.0968502067163305,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1016_j.actamat.2010.04.028__sample_10267,unknown,p,Zr30.1Ni25.6Co13.9Sn30.4,10.1016/j.actamat.2010.04.028,0.7233871634292577,-11.062829703506422,-11.78621686693568,11.78621686693568,2.0614037101289977,1.5684623765519004e-05,7.608710360057273e-06,low,0.4747073508434627,0.959831829523121,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6724,unknown,p,La1.197S1.197NbS2,10.1021/acs.chemmater.5b03365,1.3190548682574612,-10.281494881638993,-11.600549749896455,11.600549749896455,3.739885022315416,3.426127392797242e-05,9.161050065320131e-06,medium,0.2339552053285194,0.1457662115772196,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6720,unknown,p,La1.083S1.083NbS2,10.1021/acs.chemmater.5b03365,1.1402738197558937,-10.281494881638993,-11.421768701394887,11.421768701394887,3.1276246533656065,3.426127392797242e-05,1.0954407170024124e-05,medium,0.2164077543686178,0.1330908598607068,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6722,unknown,p,La1.14S1.14NbS2,10.1021/acs.chemmater.5b03365,0.98931631869498,-10.281494881638993,-11.270811200333974,11.270811200333974,2.6893951544783574,3.426127392797242e-05,1.2739397507622055e-05,medium,0.2031206866560355,0.1150079941342202,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1103_physrevb.82.104420__sample_2868,unknown,n,Co2Mn0.2Ti0.8Sn,10.1103/physrevb.82.104420,-0.0630624012703978,-11.062829703506422,-10.999767302236023,10.999767302236023,0.93888488425159,1.5684623765519004e-05,1.6705587690893153e-05,medium,0.1339032994529583,0.2948982388433597,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6721,unknown,p,La1.083S1.083NbS2,10.1021/acs.chemmater.5b03365,0.5392525645326923,-10.281494881638993,-10.820747446171685,10.820747446171685,1.7147247370065233,3.426127392797242e-05,1.998062615448352e-05,medium,0.186284861870945,0.1296867357649218,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6723,unknown,p,La1.14S1.14NbS2,10.1021/acs.chemmater.5b03365,0.5375579541468676,-10.281494881638993,-10.819052835785861,10.819052835785861,1.7118214073594402,3.426127392797242e-05,2.0014514236518363e-05,medium,0.1796239827633228,0.1458193457921549,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1016_j.actamat.2021.117231__sample_46281,unknown,n,Ag4.08TeS,10.1016/j.actamat.2021.117231,-11.362854671621625,-0.7046971165062417,10.658157555115382,10.658157555115382,1.1619164957762985e-05,0.4942582542540644,42538.19065748275,medium,0.0726715573803478,0.069650212176971,0.6100574,9.001353280934348e-06,unknown,no,large_over_prediction,selected model primary split test residual
10.1021_acs.chemmater.5b03365__sample_6725,unknown,p,La1.197S1.197NbS2,10.1021/acs.chemmater.5b03365,0.1189025299643819,-10.281494881638993,-10.400397411603375,10.400397411603375,1.1262601363226112,3.426127392797242e-05,3.042039118941031e-05,medium,0.1924612302438259,0.130144898820887,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1063_1.3409112__sample_46878,unknown,p,NaCo2O4,10.1063/1.3409112,7.638854431140685,-2.7522615136781483,-10.391115944818834,10.391115944818834,2077.362690951834,0.06378345082874458,3.0704051394857496e-05,low,0.4796058590404716,0.8882806814849947,,,unknown,no,large_under_prediction,selected model primary split test residual
10.1016_j.jallcom.2021.160387__sample_46146,unknown,p,Cu3VSe4,10.1016/j.jallcom.2021.160387,-10.719068070622216,-1.177131232180703,9.541936838441513,9.541936838441513,2.2119122089838828e-05,0.30816151559367305,13931.905359627159,low,0.3295711914213749,,0.0001221188,2.1469956911469616e-06,unknown,no,large_over_prediction,selected model primary split test residual
10.1063_1.3643051__sample_1446,unknown,p,Bi0.4Sb1.6Te3,10.1063/1.3643051,-9.429412957388308,6.011428478179339e-05,9.42947307167309,9.42947307167309,8.03263410831801e-05,1.0000601160916816,12449.964763813807,medium,0.0888249450942161,0.1209538486366336,0.9840547,,unknown,no,large_over_prediction,selected model primary split test residual
10.1039_c4dt01734j__sample_8295,unknown,n,Mg1.94Zn0.06Si0.5Sn0.49Sb0.01,10.1039/c4dt01734j,-8.656019198990714,0.6862288606887916,9.342248059679505,9.342248059679505,0.0001740758909433,1.9862111132206484,11410.029857997952,medium,0.1830123135765067,0.4060933700308699,0.8679286,2.4964800546287247e-05,unknown,no,large_over_prediction,selected model primary split test residual
10.1039_c4dt01734j__sample_8292,unknown,n,Mg2Si0.5Sn0.49Sb0.01,10.1039/c4dt01734j,-9.26524328688112,0.07416918251937359,9.339412469400493,9.339412469400493,9.465770420147484e-05,1.076988997795894,11377.72151650297,medium,0.1126996495126199,0.1155884536466615,0.7779054,,unknown,no,large_over_prediction,selected model primary split test residual
