analysis_item,value,interpretation_step22,related_file
ML sigma log RMSE vs fitting sigma log RMSE,1.4208089370289576,ML degradation relative to fitting comparison,step22_overall_comparison.csv
ML PF MAPE vs fitting PF MAPE,113.5161941275676,ML degradation relative to fitting comparison,step22_overall_comparison.csv
ML ZT vs obs MAPE vs fitting ZT vs obs MAPE,6.061936322774228,ML degradation relative to fitting comparison,step22_overall_comparison.csv
ML ZT>=1 F1 vs fitting ZT>=1 F1,-0.195214105793451,ML degradation relative to fitting comparison,step22_high_zt_classification_comparison.csv
ML much worse sample count,390,ML degradation relative to fitting comparison,step22_sample_level_comparison.csv
ML better than fitting sample count,65,ML degradation relative to fitting comparison,step22_sample_level_comparison.csv
material_systems with largest degradation,"[{""material_system"":""unknown"",""n_or_p"":""p"",""sample_count"":1615,""zt_eval_sample_count"":629,""median_sigma_fitting_log_rmse"":0.2088578654,""median_sigma_ML_log_rmse"":0.7644596672,""median_zt_obs_fitting_mape"":0.1875708612,""median_zt_obs_ML_mape"":0.5847020518,""fitting_ZT_ge_1_sample_count"":246,""ML_ZT_ge_1_sample_count"":228,""observed_ZT_ge_1_sample_count"":234,""ML_close_to_fitting_count"":142,""ML_much_worse_count"":229,""ML_better_than_fitting_count"":34,""median_sigma_gap"":0.5556018018,""median_zt_obs_gap"":0.3971311905,""interpretation_step22"":""ML close\/moderate in this group""},{""material_system"":""unknown"",""n_or_p"":""n"",""sample_count"":1586,""zt_eval_sample_count"":484,""median_sigma_fitting_log_rmse"":0.178983246,""median_sigma_ML_log_rmse"":0.7071246529,""median_zt_obs_fitting_mape"":0.1587236699,""median_zt_obs_ML_mape"":0.5384497459,""fitting_ZT_ge_1_sample_count"":172,""ML_ZT_ge_1_sample_count"":148,""observed_ZT_ge_1_sample_count"":142,""ML_close_to_fitting_count"":103,""ML_much_worse_count"":161,""ML_better_than_fitting_count"":31,""median_sigma_gap"":0.5281414069,""median_zt_obs_gap"":0.379726076,""interpretation_step22"":""ML close\/moderate in this group""}]",ML degradation relative to fitting comparison,step22_material_summary_comparison.csv
n_or_p with largest degradation,"[{""n_or_p"":""p"",""sample_count"":1615,""zt_eval_sample_count"":629,""median_sigma_fitting_log_rmse"":0.2088578654,""median_sigma_ML_log_rmse"":0.7644596672,""median_zt_obs_fitting_mape"":0.1875708612,""median_zt_obs_ML_mape"":0.5847020518,""fitting_ZT_ge_1_sample_count"":246,""ML_ZT_ge_1_sample_count"":228,""observed_ZT_ge_1_sample_count"":234,""interpretation_step22"":""ML worse than fitting"",""gap"":0.3971311905},{""n_or_p"":""n"",""sample_count"":1586,""zt_eval_sample_count"":484,""median_sigma_fitting_log_rmse"":0.178983246,""median_sigma_ML_log_rmse"":0.7071246529,""median_zt_obs_fitting_mape"":0.1587236699,""median_zt_obs_ML_mape"":0.5384497459,""fitting_ZT_ge_1_sample_count"":172,""ML_ZT_ge_1_sample_count"":148,""observed_ZT_ge_1_sample_count"":142,""interpretation_step22"":""ML worse than fitting"",""gap"":0.379726076}]",ML degradation relative to fitting comparison,step22_np_summary_comparison.csv
possible cause: tau_eff ML model underperformance,likely,ML degradation relative to fitting comparison,step22_comparison_report.txt
possible cause: insufficient additive/structure features,likely,ML degradation relative to fitting comparison,step22_comparison_report.txt
possible cause: DOI split generalization difficulty,likely,ML degradation relative to fitting comparison,step22_comparison_report.txt
