sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,step22_problem_reason,needs_step23_error_analysis
10.1002_adfm.200500043__sample_5865,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5865,YbZn2Sb2,unknown,p,42,0,0,0,0.2690980281900815,1.4971084860522736,1.2280104578621922,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.200800298__sample_5871,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5871,Yb14Mn0.05Al0.95Sb11,unknown,p,37,0,0,0,0.3244848343914051,1.470888249515881,1.146403415124476,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201400123__sample_8246,10.1002/adfm.201400123,https://doi.org/10.1002/adfm.201400123,,8246,Mg2Si0.4Sn0.49Sb0.11,unknown,n,24,12,0,0,0.17188277705541957,2.0058410782181078,1.833958301162688,0.12214953440437415,6.385499306315193,6.263349771910819,,,,,,,0.5463918,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41411,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41411,Cd3As2,unknown,n,20,0,0,0,0.45976937847809685,1.4200659962451707,0.9602966177670739,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41412,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41412,Cd3As2,unknown,n,20,0,0,0,0.5188731702728182,1.7579123393522764,1.2390391690794582,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41413,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41413,Cd3As2,unknown,n,26,0,0,0,0.4710007534998385,1.6950850847120071,1.2240843312121688,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41414,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41414,Cd3As2,unknown,n,26,0,0,0,0.45841810789285686,2.1134516609751657,1.6550335530823088,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41419,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41419,Cd3As2,unknown,n,26,0,0,0,0.2721300332359213,1.12233983670151,0.8502098034655887,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41420,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41420,Cd3As2,unknown,n,26,0,0,0,0.2755946909841278,1.2832697344263464,1.0076750434422186,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41427,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41427,Cd3As2,unknown,n,31,0,0,0,0.09432248160551561,1.0736833789096534,0.9793608973041378,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41433,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41433,Cd3As2,unknown,n,31,0,0,0,0.09855774729672119,1.4002919897608253,1.301734242464104,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adfm.201902437__sample_41434,10.1002/adfm.201902437,https://doi.org/10.1002/adfm.201902437,,41434,Cd3As2,unknown,n,32,0,0,0,0.11614469991592323,1.151608610977136,1.0354639110612127,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adma.201104305__sample_84020,10.1002/adma.201104305,https://doi.org/10.1002/adma.201104305,,84020,Nax(NiC2S4),unknown,n,12,12,9,11,0.26301711795228805,2.121432290212148,1.85841517225986,0.23771533442081794,7.5009728697919025,7.263257535371085,0.24238160830475453,8.211367658072298,7.968986049767544,0.23163550487349038,7.754912058262172,7.523276553388682,0.1038,0.0825185007068963,0.6772815844566085,0.1071795937506704,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adma.201104305__sample_84021,10.1002/adma.201104305,https://doi.org/10.1002/adma.201104305,,84021,Kx(NiC2S4),unknown,n,22,17,6,7,0.24017528857098697,2.010999335297697,1.7708240467267102,0.19767772456205676,6.154593838136946,5.956916113574889,0.15665642983209616,5.853240802681836,5.69658437284974,0.18778087303966626,5.5015391484254295,5.313758275385763,0.1881,0.1446085589449877,1.064899979113763,0.2067988399635197,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; sigma ML error propagated to ZT error; ML false high-ZT prediction; possible missing structure/additive feature,True
