sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22
10.1002_adfm.200500043__sample_5861,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5861,CaZn2Sb2,unknown,p,76,0,0,0,0.1309842797863781,0.2402449171000433,0.1092606373136652,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200500043__sample_5862,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5862,Ca0.75Yb0.25Zn2Sb2,unknown,p,82,0,0,0,0.125673487027326,0.2985586707467117,0.17288518371938572,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200500043__sample_5863,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5863,Ca0.5Yb0.5Zn2Sb2,unknown,p,75,0,0,0,0.1413449935890314,0.16874494244027538,0.02739994885124397,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200500043__sample_5864,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5864,Ca0.25Yb0.75Zn2Sb2,unknown,p,70,0,0,0,0.13620244468685977,0.5323447271976189,0.39614228251075917,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200500043__sample_5865,10.1002/adfm.200500043,https://doi.org/10.1002/adfm.200500043,,5865,YbZn2Sb2,unknown,p,42,0,0,0,0.2690980281900815,1.4971084860522736,1.2280104578621922,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5866,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5866,Yb14MnSb11,unknown,p,23,0,0,0,0.40229292985852266,0.429407287980237,0.02711435812171431,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5867,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5867,Yb14Mn0.8Al0.2Sb11,unknown,p,23,0,0,0,0.1666812191106123,0.3481322595097709,0.1814510403991586,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5868,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5868,Yb14Mn0.4Al0.6Sb11,unknown,p,23,0,0,0,0.2283273996451777,0.683952570166176,0.4556251705209984,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5869,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5869,Yb14Mn0.6Al0.4Sb11,unknown,p,26,0,0,0,0.21929077608034434,0.5365840291632086,0.31729325308286427,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5870,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5870,Yb14Mn0.2Al0.8Sb11,unknown,p,22,0,0,0,0.31172029696677284,0.9979340745622272,0.6862137775954543,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
10.1002_adfm.200800298__sample_5871,10.1002/adfm.200800298,https://doi.org/10.1002/adfm.200800298,,5871,Yb14Mn0.05Al0.95Sb11,unknown,p,37,0,0,0,0.3244848343914051,1.470888249515881,1.146403415124476,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate
