sample_key,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_final_step17,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,comparison_category_step22,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method,sintering_checked,record_checked,sintering_method_final_step17,sintering_checked_final_step17,sintering_source_step17,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,doi_url,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,comparison_note_step22,n_or_p_source_step17,n_or_p_confidence_final_step17,sintering_condition_final_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15
10.1002_adfm.200500043__sample_5861,10.1002/adfm.200500043,,5861,CaZn2Sb2,unknown,p,p,,,,,0.1309842797863781,0.2402449171000433,0.1092606373136652,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200500043,76,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.130984279786378,0.1558905132331459,,,,,,,,,,,,,,,,,,,,,,,,,-0.0636634314958477,0.6126110520287764,0.6762744835246242,0.6762744835246242,1.9665376994148849,large_over_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200500043__sample_5862,10.1002/adfm.200500043,,5862,Ca0.75Yb0.25Zn2Sb2,unknown,p,p,,,,,0.125673487027326,0.2985586707467117,0.1728851837193857,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200500043,82,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.125673487027326,0.2004871204581847,,,,,,,,,,,,,,,,,,,,,,,,,0.0109314869974063,-0.0516153480699107,-0.062546835067317,0.062546835067317,0.9393690663697368,good,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200500043__sample_5863,10.1002/adfm.200500043,,5863,Ca0.5Yb0.5Zn2Sb2,unknown,p,p,,,,,0.1413449935890314,0.1687449424402753,0.0273999488512439,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200500043,75,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.1413449935890314,0.2330572281044746,,,,,,,,,,,,,,,,,,,,,,,,,0.189575272785034,-0.0516153480699107,-0.2411906208549447,0.2411906208549447,0.7856918428620577,good,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200500043__sample_5864,10.1002/adfm.200500043,,5864,Ca0.25Yb0.75Zn2Sb2,unknown,p,p,,,,,0.1362024446868597,0.5323447271976189,0.3961422825107591,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200500043,70,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.1362024446868597,0.2112289004506498,,,,,,,,,,,,,,,,,,,,,,,,,0.7963773401093341,-0.0516153480699107,-0.8479926881792449,0.8479926881792449,0.4282737486620955,large_under_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200500043__sample_5865,10.1002/adfm.200500043,,5865,YbZn2Sb2,unknown,p,p,,,,,0.2690980281900815,1.4971084860522736,1.2280104578621922,,,,not_evaluated,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200500043,42,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.2690980281900813,0.4883565897275193,,,,,,,,,,,,,,,,,,,,,,,,,1.8390441189686288,0.7870965404263982,-1.0519475785422308,1.0519475785422308,0.3492568810970518,large_under_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200800298__sample_5866,10.1002/adfm.200800298,,5866,Yb14MnSb11,unknown,p,p,,,,,0.4022929298585226,0.429407287980237,0.0271143581217143,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200800298,23,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,low,0.4022929298585226,0.8073609459888559,,,,,,,,,,,,,,,,,,,,,,,,,0.2667327109910647,0.0001781485812638,-0.2665545624098008,0.2665545624098008,0.7660142070048636,moderate_error,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200800298__sample_5867,10.1002/adfm.200800298,,5867,Yb14Mn0.8Al0.2Sb11,unknown,p,p,,,,,0.1666812191106123,0.3481322595097709,0.1814510403991586,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200800298,23,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.1666812191106123,0.1239105015504096,,,,,,,,,,,,,,,,,,,,,,,,,0.2213116654894417,1.1383589576805098,0.917047292191068,0.917047292191068,2.501892116452143,large_over_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200800298__sample_5868,10.1002/adfm.200800298,,5868,Yb14Mn0.4Al0.6Sb11,unknown,p,p,,,,,0.2283273996451777,0.683952570166176,0.4556251705209984,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200800298,23,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.2283273996451777,0.1419464042899942,,,,,,,,,,,,,,,,,,,,,,,,,-0.1177674303327896,1.1383589576805098,1.2561263880132991,1.2561263880132991,3.511791787560673,large_over_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200800298__sample_5869,10.1002/adfm.200800298,,5869,Yb14Mn0.6Al0.4Sb11,unknown,p,p,,,,,0.2192907760803443,0.5365840291632086,0.3172932530828642,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200800298,26,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.2192907760803443,0.1944669759891393,,,,,,,,,,,,,,,,,,,,,,,,,0.0372193195642689,1.1383589576805098,1.1011396381162408,1.1011396381162408,3.0075916376640626,large_over_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
10.1002_adfm.200800298__sample_5870,10.1002/adfm.200800298,,5870,Yb14Mn0.2Al0.8Sb11,unknown,p,p,,,,,0.3117202969667728,0.9979340745622272,0.6862137775954543,,,,not_evaluated,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,unknown,no,unknown,False,unknown,True,True,True,True,True,True,True,10,low,manual review not checked,https://doi.org/10.1002/adfm.200800298,22,0,0,0,,,,,,,primary DOI test sample aggregate,,high,,unknown,no,unknown,,,,,medium,0.3117202969667728,0.2554068053122612,,,,,,,,,,,,,,,,,,,,,,,,,-0.4210516147761508,1.1383589576805098,1.5594105724566605,1.5594105724566605,4.756017091326073,large_over_prediction,unknown,no,10,low,insufficient ZT evaluation rows,
