sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,n_or_p_final_step17,n_or_p_source_step17,n_or_p_confidence_final_step17,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason
10.1002_adma.201104305__sample_84021,10.1002/adma.201104305,https://doi.org/10.1002/adma.201104305,,84021,Kx(NiC2S4),unknown,n,22,17,6,7,0.2401752885709869,2.010999335297697,1.7708240467267102,0.1976777245620567,6.154593838136946,5.956916113574889,0.1566564298320961,5.853240802681836,5.69658437284974,0.1877808730396662,5.5015391484254295,5.313758275385763,0.1881,0.1446085589449877,1.064899979113763,0.2067988399635197,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,False,False,medium,0.2401752885709869,0.400008919192481,,,,,,,,,,,,,,,,,,,,,,,,,-2.7147036331227703,-2.2303896961313674,0.4843139369914029,0.4843139369914029,1.6230611045991146,moderate_error,unknown,no,0,low,no major issue,,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,115,A,ML much worse than fitting; ZT_ML false positive; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201400515__sample_7653,10.1002/adma.201400515,https://doi.org/10.1002/adma.201400515,,7653,Cu1.98S,unknown,p,15,6,1,1,0.439224346498371,1.521432966602155,1.082208620103784,0.4320956417580652,4.303186106519986,3.8710904647619206,0.5386682908409537,0.979839600393538,0.4411713095525842,0.4755604540775953,1.2506716109375895,0.7751111568599942,1.362581,0.5571696810831649,2.3911354386584924,1.062409738958936,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,False,False,medium,0.439224346498371,0.7026420487232127,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,False,False,-1.9296605973553296,0.9308491991324996,2.860509796487829,2.860509796487829,17.470431031129625,large_over_prediction,not_checked,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,60,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201400515__sample_7654,10.1002/adma.201400515,https://doi.org/10.1002/adma.201400515,,7654,Cu1.97S,unknown,p,15,5,0,1,0.4761489516156775,0.8330383373825694,0.3568893857668918,0.740617553119639,2.0556151026008616,1.3149975494812227,,,,0.5155755004714541,0.0404086429989286,-0.4751668574725254,1.553548,0.5318182689261721,1.0534731725036417,1.097835203305677,unknown,no,no,not_evaluated,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,False,False,medium,0.4761489516156775,0.669329556631594,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,False,False,-1.1565527503316455,0.9308491991324996,2.0874019494641454,2.0874019494641454,8.063937408564621,large_over_prediction,not_checked,no,90,A,observed high ZT missed; insufficient ZT evaluation rows; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,60,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201501030__sample_42634,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,,42634,Cu2S0.50Te0.50,unknown,p,15,3,0,0,0.2191076099925488,0.6476826372131322,0.4285750272205834,0.0985446723282022,0.6582297509700585,0.5596850786418562,,,,,,,1.827485,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.2191076099925489,0.1300043642985617,,,,,,,,,,,,,,,,,,,,,,,,,-0.366646077088482,0.8661781052553225,1.2328241823438044,1.2328241823438044,3.4309053690670037,large_over_prediction,unknown,no,50,B,insufficient ZT evaluation rows; manual review required; sintering check required later,high observed ZT; important candidate for paper,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201501030__sample_42635,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,,42635,Cu2S0.52Te0.48,unknown,p,15,5,2,4,0.2621252203797352,0.5273632523336813,0.2652380319539461,0.2739748779554088,0.8107649111930086,0.5367900332375999,1.0244498648615812,2.1992071956014447,1.1747573307398635,0.3200758336694149,0.8329980155159701,0.5129221818465551,0.4897661,1.4105977070663895,2.229146007947323,1.9918292200113328,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.2621252203797352,0.3107426545273213,,,,,,,,,,,,,,,,,,,,,,,,,-0.214755703685448,0.8661781052553225,1.0809338089407703,1.0809338089407703,2.9474306034367537,large_over_prediction,unknown,no,100,A,large ZT error vs observed ZT; predicted high ZT false positive; manual review required; sintering check required later,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,True,True,True,True,True,fitting_bad_ML_bad,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,140,A,ML much worse than fitting; fitting and ML both poor; ZT_ML false positive; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201501970__sample_6417,10.1002/adma.201501970,https://doi.org/10.1002/adma.201501970,,6417,Na2.19Ga2.19Sn3.81,unknown,n,50,13,0,5,0.0764878678562902,1.9709656977379757,1.8944778298816851,0.0797480776584066,6.3526249316352805,6.272876853976874,,,,0.1193068071779009,6.688741082928781,6.56943427575088,,1.218272164774711,8.731302798093187,1.196237494478724,unknown,no,no,not_evaluated,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,False,medium,0.0764878678562902,0.0636226494599781,,,,,,,,,,,,,,,,,,,,,,,,,-0.5489229550387704,2.1201256065688328,2.669048561607603,2.669048561607603,14.426236985438376,large_over_prediction,unknown,no,30,C,insufficient ZT evaluation rows; sintering check required later,high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,35,C,ZT_ML false positive; manual review not checked
10.1002_adma.201705942__sample_31967,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31967,GeTe,unknown,p,12,10,5,8,0.3917866455198375,1.0220136337961423,0.630226988276305,0.4147566089049869,0.5643650314299651,0.1496084225249782,0.4203431696314176,0.5235614962080226,0.103218326576605,0.4124299660033297,0.5579887160176727,0.145558750014343,0.9395894,1.65776918924827,0.6450269881773836,0.9098048069389234,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.3917866455198375,0.6740575770868451,,,,,,,,,,,,,,,,,,,,,,,,,2.015498180267064,1.6451320951512611,-0.3703660851158028,0.3703660851158028,0.6904815093598111,moderate_error,unknown,no,65,B,predicted high ZT false positive; manual review required; sintering check required later,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,10,low,manual review not checked
10.1002_adma.201705942__sample_31968,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31968,Ge0.95Sb0.05Te,unknown,p,12,9,6,7,0.2531392891991018,0.762426329826682,0.5092870406275802,0.2151453713127802,0.4815327257983511,0.2663873544855709,0.2154636702218206,0.5270606958972813,0.3115970256754606,0.2078567866489953,0.5060819370564547,0.2982251504074593,1.397067,1.815458348744785,0.8844067198439876,1.2992880403154785,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.2531392891991018,0.4277305189921242,,,,,,,,,,,,,,,,,,,,,,,,,1.1991905977485715,0.1135456991990303,-1.085644898549541,1.085644898549541,0.337683943773686,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201705942__sample_31969,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31969,Ge0.9Sb0.1Te,unknown,p,12,7,5,7,0.132265272783249,0.1611801477131805,0.0289148749299315,0.1311128102645637,0.1572887433826044,0.0261759331180407,0.161440314370442,0.164833511574937,0.0033931972044949,0.1311128102645674,0.1572887433826021,0.0261759331180347,1.725513,1.6180158083914955,1.4756327306193575,1.6864853380328115,unknown,no,no,ML_close_to_fitting,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.132265272783249,0.1693871389006228,,,,,,,,,,,,,,,,,,,,,,,,,0.57212811753215,0.1135456991990303,-0.4585824183331196,0.4585824183331196,0.632179176223394,moderate_error,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,60,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked
10.1002_adma.201705942__sample_31970,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31970,Ge0.88Sb0.12Te,unknown,p,12,10,9,10,0.5026115081444255,0.7521282891891411,0.2495167810447156,0.5186845544250851,0.9929749445671908,0.4742903901421056,0.4669882605410296,0.9806255302639388,0.5136372697229092,0.5186845544250624,0.9929749445671592,0.4742903901420968,1.53783,0.9552443002942465,1.671541313103898,1.5409190210230352,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,no,no,yes,yes,False,unknown,True,True,medium,0.5026115081444255,0.6122950672261032,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,no,no,yes,yes,False,unknown,True,True,-0.0795199058102009,0.1135456991990303,0.1930656050092312,0.1930656050092312,1.2129623673161765,good,not_checked,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,both_poor,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,120,A,ML much worse than fitting; observed high ZT; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked
