sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,n_or_p_final_step17,n_or_p_source_step17,n_or_p_confidence_final_step17,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,manual_review_note_step23
10.1021_jacs.0c05650__sample_38433,10.1021/jacs.0c05650,https://doi.org/10.1021/jacs.0c05650,,38433,NaSn10SbTe12,unknown,p,12,8,3,3,0.2398056371371767,1.5184773695381495,1.278671732400973,0.21172279330659,0.7812529622037834,0.5695301688971934,0.2157844505994062,0.8249167158876825,0.6091322652882762,0.2048321061749571,0.8224715049606263,0.6176393987856691,1.091321,0.1977028458698785,0.0441389660785314,0.2401061418103429,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.2398056371371767,0.3303574945257687,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,1.3208402315912575,-1.1643729341194855,-2.485213165710743,2.485213165710743,0.0833077942540386,large_under_prediction,not_checked,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1021_acsenergylett.8b00137__sample_43756,10.1021/acsenergylett.8b00137,https://doi.org/10.1021/acsenergylett.8b00137,,43756,AgSn5Sb(Te0.992I0.008)7,unknown,p,11,4,2,2,0.0776639407063078,1.3727815018134473,1.2951175611071395,0.0523607580884595,0.7425962122298481,0.6902354541413885,0.0276617093884909,0.739016167803165,0.711354458414674,0.0436623120684675,0.7349526724264968,0.6912903603580292,1.093625,1.11911721083349,0.284209770289636,1.0813929578297483,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0776639407063078,0.1297727283732332,,,,,,,,,,,,,,,,,,,,,,,,,1.1145213233252995,-0.0700939903192859,-1.1846153136445854,1.1846153136445854,0.3058638185077951,large_under_prediction,unknown,no,75,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1021_jacs.0c05650__sample_38434,10.1021/jacs.0c05650,https://doi.org/10.1021/jacs.0c05650,,38434,NaSn4SbTe6,unknown,p,13,8,3,3,0.19944737525463,1.01179546109786,0.81234808584323,0.1271552368666156,0.6212319724010942,0.4940767355344786,0.0618458901486164,0.6520804447348724,0.590234554586256,0.055451722462565,0.649709132863762,0.594257410401197,1.167332,0.8065568667717193,0.2991160017704392,0.8191537477209633,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.19944737525463,0.3253093801161585,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,0.8133610252035882,-1.1643729341194855,-1.9777339593230736,1.9777339593230736,0.1383824625754339,large_under_prediction,not_checked,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1126_science.1156446__sample_9108,10.1126/science.1156446,https://doi.org/10.1126/science.1156446,,9108,BiSbTe alloy,unknown,p,16,16,16,16,0.1439532905647265,1.2069304576541022,1.0629771670893755,0.134398513636349,0.6951391002418947,0.5607405866055457,0.1305130541195751,0.6956401822673877,0.5651271281478125,0.1343985136363368,0.6951391002418834,0.5607405866055466,1.050943,0.9361061751833102,0.2824252781106379,1.051366701716796,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1439532905647265,0.2488324039092194,,,,,,,,,,,,,,,,,,,,,,,,,0.2927470361373219,-1.2660273083440652,-1.558774344481387,1.558774344481387,0.2103937835371032,large_under_prediction,unknown,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1111_ijac.12476__sample_16970,10.1111/ijac.12476,https://doi.org/10.1111/ijac.12476,,16970,(GeTe)90(AgSbTe2)10,unknown,p,5,5,5,5,0.1302413113671092,1.7155844390156914,1.585343127648582,0.1005645792638885,0.8177339251377411,0.7171693458738526,0.1166749258029605,0.8152182040142488,0.6985432782112883,0.1005645792639034,0.8177339251376996,0.7171693458737961,1.104396,1.0897383346777,0.1969715552912662,1.0980840399365537,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,low,0.1302413113671092,,,,,,,,,,,,,,,,,,,,,,,,,,1.7862776316226117,0.1335194910940272,-1.6527581405285845,1.6527581405285845,0.1915209378075338,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.3724_sp.j.1077.2014.13261__sample_4837,10.3724/sp.j.1077.2014.13261,https://doi.org/10.3724/sp.j.1077.2014.13261,,4837,Yb0.6Co4Sb12,unknown,n,12,7,6,6,0.0948896197449331,1.0152261229592463,0.9203365032143134,0.091156254736282,0.6280492808767686,0.5368930261404865,0.0918043176984452,0.6272286181842988,0.5354243004858535,0.0949562616185887,0.6225670173985464,0.5276107557799576,1.068536,1.2053509828487268,0.438668577768717,0.9775799507574066,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0948896197449331,0.2021858295465866,,,,,,,,,,,,,,,,,,,,,,,,,1.3623499002516894,0.4332426047448079,-0.9291072955068816,0.9291072955068816,0.394906087502549,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.3724_sp.j.1077.2014.13261__sample_4836,10.3724/sp.j.1077.2014.13261,https://doi.org/10.3724/sp.j.1077.2014.13261,,4836,Yb0.6Co4Sb12,unknown,n,12,6,2,4,0.0975211043029575,1.0117951959817275,0.91427409167877,0.0611805940339514,0.6422529794151081,0.5810723853811567,0.0404088713481377,0.6419869611064162,0.6015780897582784,0.0452602863097938,0.6442924546219836,0.5990321683121898,1.144735,0.9373327714769908,0.3423911795814341,0.9029344976710804,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.0975211043029575,0.2043932061216578,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,1.35865248596279,0.4332426047448079,-0.925409881217982,0.925409881217982,0.396368921598581,large_under_prediction,not_checked,no,100,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1016_j.jmat.2019.01.008__sample_41035,10.1016/j.jmat.2019.01.008,https://doi.org/10.1016/j.jmat.2019.01.008,,41035,AgCuTe,unknown,p,6,5,5,5,0.1245722853203385,1.2562995351210118,1.1317272498006732,0.1277138669221026,0.7058974324652628,0.5781835655431602,0.124089062015656,0.7111746420036859,0.5870855799880298,0.1277138669220745,0.7058974324651999,0.5781835655431253,1.340882,1.58159151644849,0.4530845739604844,1.3670402813049816,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,low,0.1245722853203385,,,,,,,,,,,,,,,,,,,,,,,,,,0.345495233636074,-1.0315956593346471,-1.377090892970721,1.377090892970721,0.2523114875724538,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1039_c2ta00452f__sample_8161,10.1039/c2ta00452f,https://doi.org/10.1039/c2ta00452f,,8161,(BiSbTeSe)99.14(ZnSb)0.86,unknown,p,21,21,21,21,0.1517752751343179,1.2086338486012025,1.0568585734668845,0.1386326119296139,0.6950686186538786,0.5564360067242646,0.1430831029230891,0.6928473131017217,0.5497642101786325,0.1386326119296087,0.6950686186538722,0.5564360067242634,1.082831,1.0643823571813649,0.3208852687652161,1.091502313227752,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1517752751343179,0.2402588449618743,,,,,,,,,,,,,,,,,,,,,,,,,0.8585145996053258,0.8817432870382331,0.0232286874329072,0.0232286874329072,1.0235005745047332,good,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1039_c2ta00452f__sample_8162,10.1039/c2ta00452f,https://doi.org/10.1039/c2ta00452f,,8162,(BiSbTeSe)98.58(ZnSb)1.42,unknown,p,21,21,21,21,0.1631285005677366,1.666291668675301,1.5031631681075646,0.1487452658824994,0.8069905906571313,0.6582453247746318,0.1521260893669077,0.8058355617790004,0.6537094724120927,0.1487452658824959,0.8069905906571231,0.6582453247746272,1.134731,1.3097048112274066,0.2494527905534121,1.1441274731233313,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1631285005677366,0.276711642373721,,,,,,,,,,,,,,,,,,,,,,,,,1.3177356518617214,0.8817432870382331,-0.4359923648234882,0.4359923648234882,0.6466226629947603,moderate_error,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
