sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,n_or_p_final_step17,n_or_p_source_step17,n_or_p_confidence_final_step17,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,sintering_check_reason_step23
10.1016_j.jmat.2019.01.008__sample_41035,10.1016/j.jmat.2019.01.008,https://doi.org/10.1016/j.jmat.2019.01.008,,41035,AgCuTe,unknown,p,6,5,5,5,0.1245722853203385,1.2562995351210118,1.1317272498006732,0.1277138669221026,0.7058974324652628,0.5781835655431602,0.124089062015656,0.7111746420036859,0.5870855799880298,0.1277138669220745,0.7058974324651999,0.5781835655431253,1.340882,1.58159151644849,0.4530845739604844,1.3670402813049816,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,low,0.1245722853203385,,,,,,,,,,,,,,,,,,,,,,,,,,0.345495233636074,-1.0315956593346471,-1.377090892970721,1.377090892970721,0.2523114875724538,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1021_acsenergylett.8b00137__sample_43756,10.1021/acsenergylett.8b00137,https://doi.org/10.1021/acsenergylett.8b00137,,43756,AgSn5Sb(Te0.992I0.008)7,unknown,p,11,4,2,2,0.0776639407063078,1.3727815018134473,1.2951175611071395,0.0523607580884595,0.7425962122298481,0.6902354541413885,0.0276617093884909,0.739016167803165,0.711354458414674,0.0436623120684675,0.7349526724264968,0.6912903603580292,1.093625,1.11911721083349,0.284209770289636,1.0813929578297483,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0776639407063078,0.1297727283732332,,,,,,,,,,,,,,,,,,,,,,,,,1.1145213233252995,-0.0700939903192859,-1.1846153136445854,1.1846153136445854,0.3058638185077951,large_under_prediction,unknown,no,75,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1126_science.1156446__sample_9108,10.1126/science.1156446,https://doi.org/10.1126/science.1156446,,9108,BiSbTe alloy,unknown,p,16,16,16,16,0.1439532905647265,1.2069304576541022,1.0629771670893755,0.134398513636349,0.6951391002418947,0.5607405866055457,0.1305130541195751,0.6956401822673877,0.5651271281478125,0.1343985136363368,0.6951391002418834,0.5607405866055466,1.050943,0.9361061751833102,0.2824252781106379,1.051366701716796,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1439532905647265,0.2488324039092194,,,,,,,,,,,,,,,,,,,,,,,,,0.2927470361373219,-1.2660273083440652,-1.558774344481387,1.558774344481387,0.2103937835371032,large_under_prediction,unknown,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.3724_sp.j.1077.2014.13261__sample_4837,10.3724/sp.j.1077.2014.13261,https://doi.org/10.3724/sp.j.1077.2014.13261,,4837,Yb0.6Co4Sb12,unknown,n,12,7,6,6,0.0948896197449331,1.0152261229592463,0.9203365032143134,0.091156254736282,0.6280492808767686,0.5368930261404865,0.0918043176984452,0.6272286181842988,0.5354243004858535,0.0949562616185887,0.6225670173985464,0.5276107557799576,1.068536,1.2053509828487268,0.438668577768717,0.9775799507574066,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0948896197449331,0.2021858295465866,,,,,,,,,,,,,,,,,,,,,,,,,1.3623499002516894,0.4332426047448079,-0.9291072955068816,0.9291072955068816,0.394906087502549,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.3724_sp.j.1077.2014.13261__sample_4836,10.3724/sp.j.1077.2014.13261,https://doi.org/10.3724/sp.j.1077.2014.13261,,4836,Yb0.6Co4Sb12,unknown,n,12,6,2,4,0.0975211043029575,1.0117951959817275,0.91427409167877,0.0611805940339514,0.6422529794151081,0.5810723853811567,0.0404088713481377,0.6419869611064162,0.6015780897582784,0.0452602863097938,0.6442924546219836,0.5990321683121898,1.144735,0.9373327714769908,0.3423911795814341,0.9029344976710804,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.0975211043029575,0.2043932061216578,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,1.35865248596279,0.4332426047448079,-0.925409881217982,0.925409881217982,0.396368921598581,large_under_prediction,not_checked,no,100,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1111_ijac.12476__sample_16970,10.1111/ijac.12476,https://doi.org/10.1111/ijac.12476,,16970,(GeTe)90(AgSbTe2)10,unknown,p,5,5,5,5,0.1302413113671092,1.7155844390156914,1.585343127648582,0.1005645792638885,0.8177339251377411,0.7171693458738526,0.1166749258029605,0.8152182040142488,0.6985432782112883,0.1005645792639034,0.8177339251376996,0.7171693458737961,1.104396,1.0897383346777,0.1969715552912662,1.0980840399365537,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,low,0.1302413113671092,,,,,,,,,,,,,,,,,,,,,,,,,,1.7862776316226117,0.1335194910940272,-1.6527581405285845,1.6527581405285845,0.1915209378075338,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.3724_sp.j.1077.2014.13261__sample_4835,10.3724/sp.j.1077.2014.13261,https://doi.org/10.3724/sp.j.1077.2014.13261,,4835,Yb0.6Co4Sb12,unknown,n,12,6,3,5,0.0966385227332954,0.9522462348480868,0.8556077121147913,0.1071567410246568,0.6083834013316991,0.5012266603070423,0.1150514352029811,0.6288477224123321,0.513796287209351,0.0843033010019138,0.6247876278355649,0.540484326833651,1.091733,1.2099421088657194,0.4691853630914463,1.0860559499992757,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0966385227332952,0.2002026205628416,,,,,,,,,,,,,,,,,,,,,,,,,1.298897877186201,0.4332426047448079,-0.8656552724413931,0.8656552724413931,0.4207757395247103,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_poor,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1039_c2ta00452f__sample_8163,10.1039/c2ta00452f,https://doi.org/10.1039/c2ta00452f,,8163,(BiSbTeSe)97.18(ZnSb)2.82,unknown,p,21,21,21,21,0.1512282377942273,1.8693120579578988,1.7180838201636714,0.13751996744304,0.8430372431175411,0.7055172756745012,0.1396502099426901,0.8424334616760625,0.7027832517333723,0.1375199674430367,0.8430372431175315,0.7055172756744947,1.061599,1.262217911208677,0.1958679880377156,1.066927622844418,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1512282377942273,0.2605988532025559,,,,,,,,,,,,,,,,,,,,,,,,,1.522633074698547,0.8817432870382331,-0.6408897876603139,0.6408897876603139,0.5268234544233894,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1021_jacs.0c05650__sample_38434,10.1021/jacs.0c05650,https://doi.org/10.1021/jacs.0c05650,,38434,NaSn4SbTe6,unknown,p,13,8,3,3,0.19944737525463,1.01179546109786,0.81234808584323,0.1271552368666156,0.6212319724010942,0.4940767355344786,0.0618458901486164,0.6520804447348724,0.590234554586256,0.055451722462565,0.649709132863762,0.594257410401197,1.167332,0.8065568667717193,0.2991160017704392,0.8191537477209633,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.19944737525463,0.3253093801161585,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,0.8133610252035882,-1.1643729341194855,-1.9777339593230736,1.9777339593230736,0.1383824625754339,large_under_prediction,not_checked,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
10.1021_acs.chemmater.8b03994__sample_43394,10.1021/acs.chemmater.8b03994,https://doi.org/10.1021/acs.chemmater.8b03994,,43394,Yb0.3Co3.7Fe0.3Sb12,unknown,n,8,3,2,2,0.113744867998379,0.6168084039956838,0.5030635359973048,0.1166117053863159,1.0160833680858916,0.8994716626995757,0.1683468440968512,1.1421708116939224,0.9738239675970712,0.1621425394386128,1.1307951826049352,0.9686526431663224,1.02679,0.4761158839132883,0.8729612740053337,0.4239184358398948,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.113744867998379,0.1866445936114383,n,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,0.1584793302184286,-0.0391381242491149,-0.1976174544675435,0.1976174544675435,0.8206837419946729,good,not_checked,no,100,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,150,A,ML much worse than fitting; observed high ZT; ZT_ML false negative; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check sintering method for high-ZT or large-error sample; do not infer cause from unknown
