sample_key,candidate_score_step24,candidate_tier_step24,candidate_reason_step24,candidate_caution_step24,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_final_step17,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,zt_obs_max_step21,zt_pred_ML_max_step21,zt_pred_fitting_max_step21,zt_calc_from_obs_max_step21,zt_obs_max_step22,zt_pred_ML_max_step22,zt_pred_fitting_max_step22,zt_calc_from_obs_max_step22,sigma_obs_max_step24,sigma_obs_median_step24,sigma_pred_ML_max_step24,sigma_pred_ML_median_step24,kappa_obs_min_step24,kappa_obs_median_step24,seebeck_abs_max_step24,seebeck_abs_median_step24,zt_obs_max_from_rows_step24,zt_pred_ML_max_from_rows_step24,zt_calc_from_obs_max_from_rows_step24,temperature_min_step24,temperature_max_step24,temperature_span_step24,n_temperature_rows_step24,is_high_zt_observed_step24,is_high_zt_ml_predicted_step24,is_high_zt_fitting_predicted_step24,is_low_kappa_step24,is_high_sigma_obs_step24,is_high_sigma_ml_step24,is_low_kappa_high_sigma_step24,elements_detected_step24,contains_carbon_element_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_low_rare_metal_attention_step24,is_low_toxicity_attention_step24,is_nanocarbon_candidate_step24,is_ml_supported_candidate_step24,is_fitting_supported_candidate_step24,is_balanced_recommended_candidate_step24,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,comparison_category_step22,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_pattern_step23,error_cause_note_step23,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,manual_annotation_needed_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,in_manual_review_priority_step24,in_sintering_check_priority_step24,in_high_zt_error_step24,needs_manual_review_step24,needs_sintering_check_step24,sintering_method,sintering_checked,record_checked,evaluation_scope_step21,downstream_evaluation_note_step21,doi_url
10.1016_j.jallcom.2021.160128__sample_46148,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46148,Cu1.9Sn0.1S,,p,,,,,,1.226114,2.3387861560045864,2.5934512410076107,1.2800372131631437,1.226114,2.3387861560045864,2.5934512410076107,1.2800372131631437,,,,,94817.21,56754.39,70208.9248102624,39955.56536338471,0.9894208,1.649812,0.0002943173,0.0001826083,1.226114,2.3387861560045864,1.2800372131631437,300.287,799.289,499.002,11,True,True,True,True,True,True,True,Cu;S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.1016_j.jallcom.2021.160128__sample_46149,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46149,Cu1.9Mn0.1S,,p,,,,,,1.633132,3.78057078794485,3.1529864752825776,1.6162081869513665,1.633132,3.78057078794485,3.1529864752825776,1.6162081869513665,,,,,108443.4,66908.34,112052.49995721344,63397.34001930306,1.219859,1.996606,0.0003215657,0.0002033503,1.633132,3.78057078794485,1.6162081869513665,299.698,798.701,499.00300000000004,11,True,True,True,True,True,True,True,Cu;Mn;S,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.1016_j.jallcom.2021.160128__sample_46150,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46150,Cu1.8Sn0.1Mn0.1S,,p,,,,,,1.387308,1.7706796107025944,2.5781854774517527,1.3907742370419471,1.387308,1.7706796107025944,2.5781854774517527,1.3907742370419471,,,,,79221.35,39506.41,34295.1922833161,19517.230902325256,0.6802045,1.125914,0.0003255339,0.0002520896,1.387308,1.7706796107025944,1.3907742370419471,299.698,799.289,499.591,11,True,True,True,True,True,True,True,Cu;Mn;S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.1002_aenm.202000757__sample_86394,165,A,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1002/aenm.202000757,,86394,,,p,,,,,,1.666,0.8943836358539833,1.5591427895514134,1.612927204069264,1.666,0.8943836358539833,1.5591427895514134,1.612927204069264,,,,,146000.0,78510.0,65960.4012389536,47981.095463320205,0.924,1.01,0.00020955,0.00019727,1.666,0.8943836358539833,1.612927204069264,306.2,573.6,267.40000000000003,13,True,False,True,True,True,True,True,,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/aenm.202000757
10.1002_adma.201400515__sample_7654,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1002/adma.201400515,,7654,Cu1.97S,unknown,p,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,1.553548,3.11036269136487,0.5318182689261721,1.097835203305677,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,13947.23,10319.37,116844.99148565027,63675.5836614407,0.4716863,0.4765097,0.0002592593,0.0001498316,1.553548,3.11036269136487,1.097835203305677,301.614,994.852,693.238,15,True,True,False,True,True,True,True,Cu;S,False,,False,,False,True,True,False,True,True,True,False,unknown,False,False,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,not_evaluated,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.4761489516156775,0.8330383373825694,0.3568893857668918,0.740617553119639,2.0556151026008616,1.3149975494812227,,,,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adma.201400515
10.1039_d1ta02812j__sample_45509,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1039/d1ta02812j,,45509,(Cu2SnS3)0.95(CuCo2S4)0.05,,p,,,,,,0.833967,1.0026132364755127,1.0151655624780236,0.834030602707758,0.833967,1.0026132364755127,1.0151655624780236,0.834030602707758,,,,,59750.35,45353.675,59863.2765794217,43555.5775234686,0.9188571,1.069714,0.000178637,0.0001482307,0.833967,1.0026132364755127,0.834030602707758,320.0,771.613,451.61300000000006,10,False,True,True,True,True,True,True,Co;Cu;S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/d1ta02812j
10.1126_science.aax5123__sample_43815,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1126/science.aax5123,,43815,SnS,,p,,,,,,0.9057971,11.6978842308508,2.0681816055378843,0.7189752853222914,0.9057971,11.6978842308508,2.0681816055378843,0.7189752853222914,,,,,69542.57,18786.26,161863.0981655628,98185.05374328973,1.03493,1.552395,0.0004259385,0.0003285509,0.9057971,11.6978842308508,0.7189752853222914,300.167,873.156,572.989,13,False,True,True,True,True,True,True,S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1126/science.aax5123
10.1039_c5ta01667c__sample_7223,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1039/c5ta01667c,,7223,Cu2S,,p,,,,,,0.1255448,12.581094759012558,3.2004327049382946,4.479903768566705,0.1255448,12.581094759012558,3.2004327049382946,4.479903768566705,,,,,18178.73,12814.22,84916.47144510012,58225.65425463259,0.3257573,0.337138,0.0003738338,0.00035866185,0.1255448,12.581094759012558,4.479903768566705,421.838,971.806,549.9680000000001,19,False,True,True,True,True,True,True,Cu;S,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/c5ta01667c
10.1039_c4ta01380h__sample_82196,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1039/c4ta01380h,,82196,Zr9Ni7Sn8,,n,,,,,,0.3214,101.95067880831938,579.1294547702419,732.5162008450083,0.3214,101.95067880831938,579.1294547702419,732.5162008450083,,,,,153700.0,135550.0,28964.02312144665,22095.064494932358,0.0004571,3.273,0.00010261,8.7793e-05,0.3214,101.95067880831938,732.5162008450083,320.5,776.3,455.79999999999995,10,False,True,True,True,True,True,True,Ni;Sn;Zr,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/c4ta01380h
10.1016_j.mssp.2019.104848__sample_34636,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.mssp.2019.104848,,34636,Cu1.8Na0.038S1.019,,p,,,,,,0.7666856,1.1137024950652077,1.2033092414767292,0.7917396646982892,0.7666856,1.1137024950652077,1.2033092414767292,0.7917396646982892,,,,,237889.7,188968.8,221331.7775881048,160898.66027523897,0.9925017,1.3384019999999999,0.000101733,5.4800934999999995e-05,0.7666856,1.1137024950652077,0.7917396646982892,332.164,772.222,440.058,10,False,True,True,True,True,True,True,Cu;Na;S,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.mssp.2019.104848
