sample_key,candidate_score_step24,candidate_tier_step24,candidate_reason_step24,candidate_caution_step24,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_final_step17,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,zt_obs_max_step21,zt_pred_ML_max_step21,zt_pred_fitting_max_step21,zt_calc_from_obs_max_step21,zt_obs_max_step22,zt_pred_ML_max_step22,zt_pred_fitting_max_step22,zt_calc_from_obs_max_step22,sigma_obs_max_step24,sigma_obs_median_step24,sigma_pred_ML_max_step24,sigma_pred_ML_median_step24,kappa_obs_min_step24,kappa_obs_median_step24,seebeck_abs_max_step24,seebeck_abs_median_step24,zt_obs_max_from_rows_step24,zt_pred_ML_max_from_rows_step24,zt_calc_from_obs_max_from_rows_step24,temperature_min_step24,temperature_max_step24,temperature_span_step24,n_temperature_rows_step24,is_high_zt_observed_step24,is_high_zt_ml_predicted_step24,is_high_zt_fitting_predicted_step24,is_low_kappa_step24,is_high_sigma_obs_step24,is_high_sigma_ml_step24,is_low_kappa_high_sigma_step24,elements_detected_step24,contains_carbon_element_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_low_rare_metal_attention_step24,is_low_toxicity_attention_step24,is_nanocarbon_candidate_step24,is_ml_supported_candidate_step24,is_fitting_supported_candidate_step24,is_balanced_recommended_candidate_step24,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,comparison_category_step22,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_pattern_step23,error_cause_note_step23,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,manual_annotation_needed_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,in_manual_review_priority_step24,in_sintering_check_priority_step24,in_high_zt_error_step24,needs_manual_review_step24,needs_sintering_check_step24,sintering_method,sintering_checked,record_checked,evaluation_scope_step21,downstream_evaluation_note_step21,doi_url
10.1016_j.jallcom.2021.160128__sample_46148,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46148,Cu1.9Sn0.1S,,p,,,,,,1.226114,2.3387861560045864,2.5934512410076107,1.2800372131631437,1.226114,2.3387861560045864,2.5934512410076107,1.2800372131631437,,,,,94817.21,56754.39,70208.9248102624,39955.56536338471,0.9894208,1.649812,0.0002943173,0.0001826083,1.226114,2.3387861560045864,1.2800372131631437,300.287,799.289,499.002,11,True,True,True,True,True,True,True,Cu;S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.1016_j.jallcom.2021.160128__sample_46149,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46149,Cu1.9Mn0.1S,,p,,,,,,1.633132,3.78057078794485,3.1529864752825776,1.6162081869513665,1.633132,3.78057078794485,3.1529864752825776,1.6162081869513665,,,,,108443.4,66908.34,112052.49995721344,63397.34001930306,1.219859,1.996606,0.0003215657,0.0002033503,1.633132,3.78057078794485,1.6162081869513665,299.698,798.701,499.00300000000004,11,True,True,True,True,True,True,True,Cu;Mn;S,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.1016_j.jallcom.2021.160128__sample_46150,190,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2021.160128,,46150,Cu1.8Sn0.1Mn0.1S,,p,,,,,,1.387308,1.7706796107025944,2.5781854774517527,1.3907742370419471,1.387308,1.7706796107025944,2.5781854774517527,1.3907742370419471,,,,,79221.35,39506.41,34295.1922833161,19517.230902325256,0.6802045,1.125914,0.0003255339,0.0002520896,1.387308,1.7706796107025944,1.3907742370419471,299.698,799.289,499.591,11,True,True,True,True,True,True,True,Cu;Mn;S;Sn,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2021.160128
10.34133_2020_5016564__sample_38162,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.34133/2020/5016564,,38162,(Ca0.5Ba0.5)0.995Na0.005Mg2Bi1.98,,p,,,,,,1.098392,1.095714030185831,1.263488656265064,1.1026494359829615,1.098392,1.095714030185831,1.263488656265064,1.1026494359829615,,,,,51081.53,29783.69,44378.97888812276,26889.688656124137,0.8322632,0.95024075,0.0002287568,0.00021967565000000002,1.098392,1.095714030185831,1.1026494359829615,298.171,873.476,575.3050000000001,13,True,True,True,True,True,True,True,Ba;Bi;Ca;Mg;Na,False,Bi,True,,False,False,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.34133/2020/5016564
10.1002_aenm.202000757__sample_86394,165,A,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1002/aenm.202000757,,86394,,,p,,,,,,1.666,0.8943836358539833,1.5591427895514134,1.612927204069264,1.666,0.8943836358539833,1.5591427895514134,1.612927204069264,,,,,146000.0,78510.0,65960.4012389536,47981.095463320205,0.924,1.01,0.00020955,0.00019727,1.666,0.8943836358539833,1.612927204069264,306.2,573.6,267.40000000000003,13,True,False,True,True,True,True,True,,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/aenm.202000757
10.1016_j.scriptamat.2013.07.008__sample_9401,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.scriptamat.2013.07.008,,9401,Mg2Si0.53Sn0.4Ge0.05Bi0.02,,n,,,,,,1.25758,2.3238648071208687,2.3561744425138937,1.4311683659012666,1.25758,2.3238648071208687,2.3561744425138937,1.4311683659012666,,,,,170295.9,116195.4,155840.98080839342,111544.90594440154,1.927538,2.5627295,0.0002175381,0.0001422883,1.25758,2.3238648071208687,1.4311683659012666,305.235,807.27,502.03499999999997,12,True,True,True,True,True,True,True,Bi;Ge;Mg;Si;Sn,False,Bi;Ge,True,,False,False,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.scriptamat.2013.07.008
10.1016_j.jallcom.2018.10.209__sample_40339,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.jallcom.2018.10.209,,40339,Mn30.4Re6.0Si63.6,,p,,,,,,1.041284,1.9672919949588976,1.1520729426845682,1.0502047509701335,1.041284,1.9672919949588976,1.1520729426845682,1.0502047509701335,,,,,79177.3,49787.365,184153.3441040118,98797.25752570605,1.537533,1.730305,0.0002276031,0.00019647155,1.041284,1.9672919949588976,1.0502047509701335,300.067,1039.35,739.2829999999999,38,True,True,True,True,True,True,True,Mn;Re;Si,False,Re,True,,False,False,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jallcom.2018.10.209
10.1016_j.actamat.2014.04.060__sample_5411,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.actamat.2014.04.060,,5411,Mg2Si0.5325Sn0.4Ge0.05Bi0.0175,,n,,,,,,1.049228,1.67276135742457,1.313162442837532,1.0442227693485424,1.049228,1.67276135742457,1.313162442837532,1.0442227693485424,,,,,120548.2,82676.65,155840.98080839342,97456.63507895813,1.845382,2.2202640000000002,0.0002101002,0.0001548451,1.049228,1.67276135742457,1.0442227693485424,302.47,819.969,517.499,12,True,True,True,True,True,True,True,Bi;Ge;Mg;Si;Sn,False,Bi;Ge,True,,False,False,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.actamat.2014.04.060
10.1002_adma.201400515__sample_7654,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1002/adma.201400515,,7654,Cu1.97S,unknown,p,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,1.553548,3.11036269136487,0.5318182689261721,1.097835203305677,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,13947.23,10319.37,116844.99148565027,63675.5836614407,0.4716863,0.4765097,0.0002592593,0.0001498316,1.553548,3.11036269136487,1.097835203305677,301.614,994.852,693.238,15,True,True,False,True,True,True,True,Cu;S,False,,False,,False,True,True,False,True,True,True,False,unknown,False,False,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,not_evaluated,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.4761489516156775,0.8330383373825694,0.3568893857668918,0.740617553119639,2.0556151026008616,1.3149975494812227,,,,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adma.201400515
10.1039_c4ta01380h__sample_82196,150,A,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1039/c4ta01380h,,82196,Zr9Ni7Sn8,,n,,,,,,0.3214,101.95067880831938,579.1294547702419,732.5162008450083,0.3214,101.95067880831938,579.1294547702419,732.5162008450083,,,,,153700.0,135550.0,28964.02312144665,22095.064494932358,0.0004571,3.273,0.00010261,8.7793e-05,0.3214,101.95067880831938,732.5162008450083,320.5,776.3,455.79999999999995,10,False,True,True,True,True,True,True,Ni;Sn;Zr,False,,False,,False,True,True,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/c4ta01380h
