sample_key,candidate_score_step24,candidate_tier_step24,is_high_zt_observed_step24,is_low_kappa_high_sigma_step24,is_nanocarbon_candidate_step24
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409,20,review,False,False,False
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410,0,review,False,False,False
10.1002_adem.201200233__sample_18985,30,C,False,False,False
10.1002_adem.201200233__sample_18987,30,C,False,False,False
10.1002_adem.201200233__sample_18989,30,C,False,False,False
10.1002_adem.201400183__sample_19725,0,review,False,False,False
10.1002_adem.201400183__sample_19726,20,review,False,False,False
10.1002_adem.201400183__sample_19727,20,review,False,False,False
10.1002_adem.201400183__sample_19728,20,review,False,False,False
10.1002_adem.201400183__sample_19729,20,review,False,False,False
10.1002_adem.201400183__sample_19730,20,review,False,False,False
10.1002_adem.201400183__sample_19731,20,review,False,False,False
10.1002_adem.201400183__sample_19732,30,C,False,False,False
10.1002_adem.201400183__sample_19733,30,C,False,False,False
10.1002_adem.201400183__sample_19734,30,C,False,False,False
10.1002_adem.201400183__sample_19735,10,review,False,False,False
10.1002_adfm.200400109__sample_3326,20,review,False,True,False
10.1002_adfm.200400109__sample_3327,20,review,False,True,False
10.1002_adfm.200400109__sample_3328,20,review,False,True,False
10.1002_adfm.200400109__sample_3329,20,review,False,True,False
10.1002_adfm.200500043__sample_5861,-30,low,False,False,False
10.1002_adfm.200500043__sample_5862,-30,low,False,False,False
10.1002_adfm.200500043__sample_5863,-30,low,False,False,False
10.1002_adfm.200500043__sample_5864,-30,low,False,False,False
10.1002_adfm.200500043__sample_5865,-45,low,False,False,False
10.1002_adfm.200800298__sample_5866,-30,low,False,False,False
10.1002_adfm.200800298__sample_5867,-30,low,False,False,False
10.1002_adfm.200800298__sample_5868,-30,low,False,False,False
10.1002_adfm.200800298__sample_5869,-30,low,False,False,False
10.1002_adfm.200800298__sample_5870,-45,low,False,False,False
10.1002_adfm.200800298__sample_5871,-45,low,False,False,False
10.1002_adfm.200800298__sample_5872,-50,low,False,False,False
10.1002_adfm.200900250__sample_19005,30,C,False,False,False
10.1002_adfm.200900250__sample_19007,-15,low,False,False,False
