step,step_name,purpose,main_input,main_output,key_result,paper_use
Step1,preprocessing stage 1,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step2,preprocessing stage 2,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step3,preprocessing stage 3,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step4,preprocessing stage 4,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step5,preprocessing stage 5,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step6,preprocessing stage 6,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step7,preprocessing stage 7,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step8,preprocessing stage 8,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step9,preprocessing stage 9,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step10,preprocessing stage 10,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step11,preprocessing stage 11,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step12,tau_eff fitting,Fit relative effective tau_eff from sigma observations.,Step11 normalized transport rows,tau_fit_results_step12.csv,relative tau_eff and sigma fit errors,Methods and fitting performance
Step13,sigma holdout validation,Validate fitted tau_eff on held-out temperature rows.,Step12 fitted samples,tau_validation_primary_results_step13.csv,sigma validation quality,Validation performance
Step14,PF/ZT fitting prediction,Estimate PF/ZT using fitted tau_eff-derived sigma with observed S/kappa.,Step12 and Step11 values,pf_zt_sample_results_step14.csv,PF/ZT sample metrics,PF/ZT fitting results
Step15,PF/ZT error analysis,Identify PF/ZT problem samples and review targets.,Step14 outputs,Step15 problem/review outputs,manual review and sintering targets,Error analysis context
Step16,preprocessing stage 16,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step17,preprocessing stage 17,"Prepare, normalize, classify, or annotate Starrydata2 transport data.",upstream Starrydata2/preprocessed files,intermediate normalized or annotated data,intermediate dataset for later fitting and ML,Methods background
Step18,ML dataset creation,Build feature table for fitted log_tau_eff labels.,Step12 and annotations,tau_eff_ml_dataset_recommended_step18.csv,recommended ML samples and features,ML dataset description
Step19,ML prediction of log_tau_eff,Train and evaluate ML models for fitted log_tau_eff.,Step18 dataset,tau_eff_ml_model_comparison_step19.csv,selected model and DOI test metrics,ML performance
Step20,ML tau_eff to sigma,Convert ML-predicted tau_eff into sigma estimates.,Step19 model outputs,sigma_ml_model_comparison_step20.csv,ML sigma evaluation,ML sigma result
Step21,ML tau_eff to PF/ZT,Estimate PF/ZT from ML sigma and observed S/kappa.,Step20 predictions,pf_zt_ml_primary_sample_results_step21.csv,ML PF/ZT evaluation,ML PF/ZT result
Step22,fitting vs ML comparison,Compare direct fitting and ML tau_eff workflows.,Step21 and fitting outputs,step22_metric_comparison.csv,direct fitting generally outperforms ML,Main comparison
Step23,error cause analysis,Summarize likely error patterns and review priorities.,Step22 comparison,step23_error_cause_samples.csv,hypotheses and review targets,Discussion and limitations
Step24,candidate material extraction,"Extract high-ZT, low-kappa/high-sigma, and screening candidates.",Step21-23 outputs,step24_balanced_recommended_candidates.csv,candidate material list,Candidate table
Step25,paper output generation,"Organize Step12-24 outputs into tables, figure data, drafts, and report.",Step12-24 outputs,starrydata2_step25_paper_outputs.xlsx,paper-ready outputs,Thesis/paper preparation
