rank_step25,sample_key,composition,material_system,n_or_p,candidate_tier_step24,candidate_score_step24,candidate_reason_step24,candidate_caution_step24,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,sigma_obs_max_step24,sigma_pred_ML_max_step24,kappa_obs_min_step24,seebeck_abs_max_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_nanocarbon_candidate_step24,additive_final_step17,structure_final_step17,sintering_method_final_step17,sintering_checked_final_step17,needs_manual_review_step24,needs_sintering_check_step24,DOI,paper_title,doi_url
1,10.1016_j.jallcom.2021.160128__sample_46149,Cu1.9Mn0.1S,,p,A,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.633132,3.78057078794485,3.1529864752825776,1.6162081869513665,108443.4,112052.49995721344,1.219859,0.0003215657,,False,,False,False,,,,,False,False,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
2,10.1016_j.jallcom.2021.160128__sample_46150,Cu1.8Sn0.1Mn0.1S,,p,A,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.387308,1.7706796107025944,2.5781854774517527,1.3907742370419471,79221.35,34295.1922833161,0.6802045,0.0003255339,,False,,False,False,,,,,False,False,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
3,10.1016_j.jallcom.2021.160128__sample_46148,Cu1.9Sn0.1S,,p,A,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.226114,2.3387861560045864,2.5934512410076107,1.2800372131631437,94817.21,70208.9248102624,0.9894208,0.0002943173,,False,,False,False,,,,,False,False,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
4,10.1002_aenm.202000757__sample_86394,,,p,A,165,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.666,0.8943836358539833,1.5591427895514134,1.612927204069264,146000.0,65960.4012389536,0.924,0.00020955,,False,,False,False,,,,,False,False,10.1002/aenm.202000757,,https://doi.org/10.1002/aenm.202000757
5,10.1002_adma.201400515__sample_7654,Cu1.97S,unknown,p,A,165,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,13947.23,116844.99148565027,0.4716863,0.0002592593,,False,,False,False,unknown,unknown,unknown,no,True,True,10.1002/adma.201400515,,https://doi.org/10.1002/adma.201400515
6,10.1016_j.scriptamat.2013.07.008__sample_9401,Mg2Si0.53Sn0.4Ge0.05Bi0.02,,n,A,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.25758,2.3238648071208687,2.3561744425138937,1.4311683659012666,170295.9,155840.98080839342,1.927538,0.0002175381,Bi;Ge,True,,False,False,,,,,False,False,10.1016/j.scriptamat.2013.07.008,,https://doi.org/10.1016/j.scriptamat.2013.07.008
7,10.34133_2020_5016564__sample_38162,(Ca0.5Ba0.5)0.995Na0.005Mg2Bi1.98,,p,A,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.098392,1.095714030185831,1.263488656265064,1.1026494359829615,51081.53,44378.97888812276,0.8322632,0.0002287568,Bi,True,,False,False,,,,,False,False,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
8,10.1016_j.actamat.2014.04.060__sample_5411,Mg2Si0.5325Sn0.4Ge0.05Bi0.0175,,n,A,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.049228,1.67276135742457,1.313162442837532,1.0442227693485424,120548.2,155840.98080839342,1.845382,0.0002101002,Bi;Ge,True,,False,False,,,,,False,False,10.1016/j.actamat.2014.04.060,,https://doi.org/10.1016/j.actamat.2014.04.060
9,10.1016_j.jallcom.2018.10.209__sample_40339,Mn30.4Re6.0Si63.6,,p,A,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.041284,1.9672919949588976,1.1520729426845682,1.0502047509701335,79177.3,184153.3441040118,1.537533,0.0002276031,Re,True,,False,False,,,,,False,False,10.1016/j.jallcom.2018.10.209,,https://doi.org/10.1016/j.jallcom.2018.10.209
10,10.1126_science.aax5123__sample_43815,SnS,,p,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.9057971,11.6978842308508,2.0681816055378843,0.7189752853222914,69542.57,161863.0981655628,1.03493,0.0004259385,,False,,False,False,,,,,False,False,10.1126/science.aax5123,,https://doi.org/10.1126/science.aax5123
