rank_step25,sample_key,composition,material_system,n_or_p,review_priority_score,review_reason,primary_error_source_hypothesis,zt_obs_max,zt_pred_ML_max,candidate_tier,check_additive,check_structure,check_np_type,check_sintering,DOI,paper_title,doi_url
1,10.1016_j.jallcom.2021.160128__sample_46148,Cu1.9Sn0.1S,,p,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.226114,2.3387861560045864,A,,,,,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
2,10.1016_j.jallcom.2021.160128__sample_46150,Cu1.8Sn0.1Mn0.1S,,p,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.387308,1.7706796107025944,A,,,,,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
3,10.1016_j.jallcom.2021.160128__sample_46149,Cu1.9Mn0.1S,,p,190,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.633132,3.78057078794485,A,,,,,10.1016/j.jallcom.2021.160128,,https://doi.org/10.1016/j.jallcom.2021.160128
4,10.34133_2020_5016564__sample_38162,(Ca0.5Ba0.5)0.995Na0.005Mg2Bi1.98,,p,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.098392,1.095714030185831,A,,,,,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
5,10.1016_j.scriptamat.2013.07.008__sample_9401,Mg2Si0.53Sn0.4Ge0.05Bi0.02,,n,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.25758,2.3238648071208687,A,,,,,10.1016/j.scriptamat.2013.07.008,,https://doi.org/10.1016/j.scriptamat.2013.07.008
6,10.1016_j.jallcom.2018.10.209__sample_40339,Mn30.4Re6.0Si63.6,,p,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.041284,1.9672919949588976,A,,,,,10.1016/j.jallcom.2018.10.209,,https://doi.org/10.1016/j.jallcom.2018.10.209
7,10.1016_j.actamat.2014.04.060__sample_5411,Mg2Si0.5325Sn0.4Ge0.05Bi0.0175,,n,165,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.049228,1.67276135742457,A,,,,,10.1016/j.actamat.2014.04.060,,https://doi.org/10.1016/j.actamat.2014.04.060
8,10.1002_adma.201400515__sample_7654,Cu1.97S,unknown,p,165,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,not_evaluable,1.553548,1.0534731725036417,A,True,True,,True,10.1002/adma.201400515,,https://doi.org/10.1002/adma.201400515
9,10.1002_aenm.202000757__sample_86394,,,p,165,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.666,0.8943836358539833,A,,,,,10.1002/aenm.202000757,,https://doi.org/10.1002/aenm.202000757
10,10.1016_j.matpr.2019.02.050__sample_39203,Fe0.92Mn0.08Si2,,p,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.01587496,192.0175612336544,A,,,,,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
11,10.1039_d1ta02812j__sample_45509,(Cu2SnS3)0.95(CuCo2S4)0.05,,p,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.833967,1.0026132364755127,A,,,,,10.1039/d1ta02812j,,https://doi.org/10.1039/d1ta02812j
12,10.1016_j.matpr.2019.02.050__sample_39204,Fe0.97Co0.03Si2,,n,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.1220138,162.25058569124332,A,,,,,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
13,10.1039_c5ta01667c__sample_7223,Cu2S,,p,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.1255448,12.581094759012558,A,,,,,10.1039/c5ta01667c,,https://doi.org/10.1039/c5ta01667c
14,10.1126_science.aax5123__sample_43815,SnS,,p,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.9057971,11.6978842308508,A,,,,,10.1126/science.aax5123,,https://doi.org/10.1126/science.aax5123
15,10.1016_j.mssp.2019.104848__sample_34636,Cu1.8Na0.038S1.019,,p,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.7666856,1.1137024950652077,A,,,,,10.1016/j.mssp.2019.104848,,https://doi.org/10.1016/j.mssp.2019.104848
