rank_step25,sample_key,composition,material_system,n_or_p,sintering_check_reason,zt_obs_max,zt_pred_ML_max,zt_pred_fitting_max,candidate_score,candidate_tier,sintering_method_final_step17,sintering_checked_final_step17,DOI,paper_title,doi_url
1,10.1002_adma.201400515__sample_7654,Cu1.97S,unknown,p,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.553548,1.0534731725036417,0.5318182689261721,165,A,unknown,no,10.1002/adma.201400515,,https://doi.org/10.1002/adma.201400515
2,10.1109_ict.2005.1519880__sample_24217,TiO1.1,,p,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.543128,1.2277392673317538,0.5837148207394245,145,A,,no,10.1109/ict.2005.1519880,,https://doi.org/10.1109/ict.2005.1519880
3,10.1039_c5ta01667c__sample_7224,Cu1.97S,,p,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.89418,6.02044003986307,0.1733118333599964,145,A,,no,10.1039/c5ta01667c,,https://doi.org/10.1039/c5ta01667c
4,10.1039_c6ra06688g__sample_9095,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.247944,1.8922456208496392,1.1869205842955572,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
5,10.1016_j.mtphys.2021.100497__sample_45590,Ge0.89Al0.01Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.81912,1.522367354440434,1.4523007361448117,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
6,10.1016_j.mtphys.2021.100497__sample_45589,Ge0.9Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.746905,1.790672337227558,1.5902346471833972,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
7,10.1039_c6ra06688g__sample_9077,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.089128,1.0755775729156052,1.0275891547569511,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
8,10.1016_j.jallcom.2017.06.296__sample_2771,Pb0.995Sn0.005Te0.847Se0.15I0.003,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.200913,1.948023434789801,2.1719253524490134,130,A,,no,10.1016/j.jallcom.2017.06.296,,https://doi.org/10.1016/j.jallcom.2017.06.296
9,10.1039_c6ra06688g__sample_9081,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.183109,1.1076594186450817,1.086974408622838,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
10,10.1039_c6ra06688g__sample_9093,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.195161,1.1302056591831768,1.1170995857863937,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
11,10.1039_c6ra06688g__sample_9096,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.214441,1.8027377995460407,1.1569134407244115,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
