sample_key,DOI,sample_id,composition,carrier_type_guess,seebeck_sign_class,seebeck_curve_count,electrical_conductivity_curve_count,electrical_resistivity_curve_count,thermal_conductivity_curve_count,zt_curve_count,is_relaxation_fit_candidate,is_accuracy_check_candidate,is_extended_transport_candidate,candidate_priority,zt_unit_check_status,missing_for_accuracy_check
10.1002_adem.201200233__sample_18985,10.1002/adem.201200233,18985,Si99.24B0.76,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201200233__sample_18987,10.1002/adem.201200233,18987,Si99.24B0.76,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201200233__sample_18989,10.1002/adem.201200233,18989,Si99.14B0.86,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19725,10.1002/adem.201400183,19725,B4C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19726,10.1002/adem.201400183,19726,B5C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19727,10.1002/adem.201400183,19727,B6C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19728,10.1002/adem.201400183,19728,B7C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19729,10.1002/adem.201400183,19729,B8C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19730,10.1002/adem.201400183,19730,B9C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adem.201400183__sample_19731,10.1002/adem.201400183,19731,B10C,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.200400109__sample_3326,10.1002/adfm.200400109,3326,CoSb3,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.200400109__sample_3327,10.1002/adfm.200400109,3327,CoSb3,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.200400109__sample_3328,10.1002/adfm.200400109,3328,CoSb3,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.200400109__sample_3329,10.1002/adfm.200400109,3329,CoSb3,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.201001307__sample_16928,10.1002/adfm.201001307,16928,Ag6.52Sb6.52Ge36.96Te50.00,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
10.1002_adfm.201001307__sample_16929,10.1002/adfm.201001307,16929,Ag6.52Sb6.52Ge36.96Te49.00Yb1.00,p-type,positive,1,1,0,1,1,True,True,True,2,ok,complete
