sample_key,DOI,paper_title,year,sample_id,composition,material_system,n_or_p,n_or_p_confidence_step6,np_basis_auto_step9,additive_auto_step9,structure_auto_step9,nanocarbon_type_auto_step9,zt_max_observed_step9,thermal_conductivity_min_observed_step9,review_priority_score_step9,review_priority_tier_step9,review_priority_reason_step9,paper_checked_step9,additive_manual_step9,structure_manual_step9,np_type_paper_manual_step9,np_basis_paper_manual_step9,manual_review_note_step9,SID,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,np_basis_source_step9,np_checked_in_paper_step9,np_check_note_step9,sintering_method,sintering_checked,record_checked,sintering_status_step9,sintering_note_step9,sintering_keyword_detected_step9,additive_evidence_auto_step9,additive_keyword_detected_step9,structure_evidence_auto_step9,structure_keyword_detected_step9,nanocarbon_keyword_detected_step9,nanocarbon_evidence_auto_step9,rare_metal_flag_auto_step9,rare_metal_elements_auto_step9,toxicity_flag_auto_step9,toxicity_elements_auto_step9,rare_metal_note_manual_step9,toxicity_note_manual_step9,sigma_or_rho_point_count_step9,seebeck_point_count_step9,candidate_priority_tier_step8,fitting_source_preference_step8,valid_sigma_or_rho_point_count_step8,sigma_or_rho_temperature_span_step8,paper_check_date_step9,paper_check_scope_step9,needs_sintering_check_later_step9,text_for_literature_hint_step9,has_electrical_conductivity,has_electrical_resistivity,has_sigma_or_rho,has_seebeck,has_thermal_conductivity,has_zt,has_kappa_or_zt,electrical_conductivity_curve_count,electrical_resistivity_curve_count,seebeck_curve_count_step5,thermal_conductivity_curve_count,zt_curve_count,electrical_conductivity_point_count,electrical_resistivity_point_count,sigma_or_rho_point_count,seebeck_point_count_step5,thermal_conductivity_point_count,zt_point_count,kappa_or_zt_point_count,is_learning_candidate_step5,learning_candidate_reason_step5,n_or_p_prior,n_or_p_basis_prior,seebeck_positive_count,seebeck_negative_count,seebeck_zero_count,seebeck_valid_count,seebeck_curve_count,seebeck_point_count,seebeck_abs_like_curve_count,seebeck_parse_failed_curve_count,seebeck_sign_mixed_flag,sintering_method_prior_step7,sintering_checked_prior_step7,record_checked_prior_step7,sintering_status_step7,sintering_note_step7,sigma_curve_count_step8,rho_curve_count_step8,sigma_or_rho_curve_count_step8,sigma_point_count_step8,rho_point_count_step8,sigma_or_rho_point_count_step8,valid_sigma_point_count_step8,valid_rho_point_count_step8,nonpositive_sigma_point_count_step8,nonpositive_rho_point_count_step8,nonpositive_sigma_or_rho_point_count_step8,sigma_temperature_min_step8,sigma_temperature_max_step8,rho_temperature_min_step8,rho_temperature_max_step8,sigma_or_rho_temperature_min_step8,sigma_or_rho_temperature_max_step8,sigma_rho_parse_failed_curve_count_step8,sigma_rho_xy_mismatch_curve_count_step8,has_valid_sigma_step8,has_valid_rho_step8,has_valid_sigma_or_rho_step8,has_seebeck_step8,has_thermal_conductivity_step8,has_zt_step8,has_kappa_or_zt_step8,seebeck_curve_count_step8,thermal_conductivity_curve_count_step8,zt_curve_count_step8,seebeck_point_count_step8,thermal_conductivity_point_count_step8,zt_point_count_step8,kappa_or_zt_point_count_step8,is_tau_fitting_candidate_step8,is_full_learning_candidate_step8,is_initial_tau_fit_candidate_step8,fitting_source_reason_step8,learning_candidate_reason_step8,zt_point_count_step9,thermal_conductivity_point_count_step9,doi_url
10.1063_1.2811936__sample_3943,10.1063/1.2811936,,,3943,Ba0.33Co4Sb12.16(C60)0.01,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,fullerene,1.29532,3.453704,125,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +25 nanocarbon; +10 high n/p confidence; -5 toxicity memo; -5 rare metal memo,no,,,,,,1952,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,True,fullerene: Ba0.33Co4Sb12.16(C60)0.01 | unknown | Ba0.33Co4Sb12.16(C60)0.01 |,True,Sb,True,Sb,,,12,11,A,Electrical conductivity,12,547.7421999999999,,not checked,no,Ba0.33Co4Sb12.16(C60)0.01 | unknown | Ba0.33Co4Sb12.16(C60)0.01 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Ba0.33Co4Sb12.16(C60)0.01 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Ba0.33Co4Sb12.16(C60)0.01 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Ba0.33Co4Sb12.16(C60)0.01 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,12,0,12,11,12,12,24,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,11,0,11,1,11,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,12,0,12,12,0,0,0,0,302.8658,850.608,0.0,0.0,302.8658,850.608,0,0,True,False,True,True,True,True,True,1,1,1,11,12,12,24,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,12.0,https://doi.org/10.1063/1.2811936
10.1063_1.2811936__sample_3948,10.1063/1.2811936,,,3948,Ba0.25Co4Sb12.07(BaC60)0.03,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,fullerene,1.184998,2.907114,125,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +25 nanocarbon; +10 high n/p confidence; -5 toxicity memo; -5 rare metal memo,no,,,,,,1952,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,True,fullerene: Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | Ba0.25Co4Sb12.07(BaC60)0.03,True,Sb,True,Sb,,,12,12,A,Electrical conductivity,12,543.2893999999999,,not checked,no,Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Ba0.25Co4Sb12.07(BaC60)0.03 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,12,0,12,12,12,12,24,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,12,0,12,1,12,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,12,0,12,12,0,0,0,0,302.8688,846.1582,0.0,0.0,302.8688,846.1582,0,0,True,False,True,True,True,True,True,1,1,1,12,12,12,24,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,12.0,https://doi.org/10.1063/1.2811936
10.1063_1.4897146__sample_84085,10.1063/1.4897146,,,84085,CSA 1.0M doped-Polyaniline,unknown,p,high,"estimated from Seebeck sign: positive=29, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",doped,unknown,unknown,1.0258,0.299,120,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 additive keyword; +10 high n/p confidence,no,,,,,,49804,"estimated from Seebeck sign: positive=29, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=29, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,doped: CSA 1.0M doped-Polyaniline | unknown | CSA 1.0M doped-Polya,True,,False,False,,False,,False,,,,24,29,A,Electrical conductivity,24,295.08,,not checked,no,CSA 1.0M doped-Polyaniline | unknown | CSA 1.0M doped-Polyaniline | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | CSA 1.0M doped-Polyaniline | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | CSA 1.0M doped-Polyaniline | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | CSA 1.0M doped-Polyaniline | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,24,0,24,29,44,51,95,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,29,0,0,29,1,29,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,24,0,24,24,0,0,0,0,4.92,300.0,0.0,0.0,4.92,300.0,0,0,True,False,True,True,True,True,True,1,1,1,29,44,51,95,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",51.0,44.0,https://doi.org/10.1063/1.4897146
10.1039_c5ta01667c__sample_7224,10.1039/c5ta01667c,,,7224,Cu1.97S,unknown,p,high,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.89418,0.3471321,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,2812,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,19,19,A,Electrical conductivity,19,564.9858,,not checked,no,Cu1.97S | unknown | Cu1.97S | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Cu1.97S | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Cu1.97S | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Cu1.97S | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,19,0,19,19,19,19,38,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,19,0,0,19,1,19,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,19,0,19,19,0,0,0,0,401.8107,966.7965,0.0,0.0,401.8107,966.7965,0,0,True,False,True,True,True,True,True,1,1,1,19,19,19,38,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",19.0,19.0,https://doi.org/10.1039/c5ta01667c
10.1002_aenm.202000757__sample_86394,10.1002/aenm.202000757,,,86394,,unknown,p,high,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.666,0.924,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,29108,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,13,13,A,Electrical conductivity,13,267.40000000000003,,not checked,no,unknown | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,13,0,13,13,13,12,25,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,13,0,0,13,1,13,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,13,0,13,13,0,0,0,0,306.2,573.6,0.0,0.0,306.2,573.6,0,0,True,False,True,True,True,True,True,1,1,1,13,13,12,25,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,13.0,https://doi.org/10.1002/aenm.202000757
10.1002_adma.201400515__sample_7654,10.1002/adma.201400515,,,7654,Cu1.97S,unknown,p,high,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.656774,0.4444515,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,6018,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,15,15,A,Electrical conductivity,15,693.238,,not checked,no,Cu1.97S | unknown | Cu1.97S | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Cu1.97S | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Cu1.97S | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Cu1.97S | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,15,0,15,15,13,13,26,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,15,0,0,15,1,15,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,15,0,15,15,0,0,0,0,301.6144,994.8524,0.0,0.0,301.6144,994.8524,0,0,True,False,True,True,True,True,True,1,1,1,15,13,13,26,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",13.0,13.0,https://doi.org/10.1002/adma.201400515
10.1109_ict.2005.1519880__sample_24217,10.1109/ict.2005.1519880,,,24217,TiO1.1,unknown,p,high,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.637168,1.290323,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,8900,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,14,14,A,Electrical conductivity,14,650.2283,,not checked,no,TiO1.1 | unknown | TiO1.1 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | TiO1.1 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | TiO1.1 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | TiO1.1 | unknown | Figure of merit Z | ZT | ZT | ZT | ZT | TiO1.1 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,2,14,0,14,14,14,28,42,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,14,0,0,14,1,14,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,14,0,14,14,0,0,0,0,569.9537,1220.182,0.0,0.0,569.9537,1220.182,0,0,True,False,True,True,True,True,True,1,1,2,14,14,28,42,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",28.0,14.0,https://doi.org/10.1109/ict.2005.1519880
10.1016_j.jallcom.2021.160128__sample_46149,10.1016/j.jallcom.2021.160128,,,46149,Cu1.9Mn0.1S,unknown,p,high,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.633132,1.219859,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,37301,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,11,11,A,Electrical conductivity,11,499.00249999999994,,not checked,no,Cu1.9Mn0.1S | unknown | Cu1.9Mn0.1S | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Cu1.9Mn0.1S | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Cu1.9Mn0.1S | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Cu1.9Mn0.1S | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,11,0,11,11,11,11,22,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,11,0,0,11,1,11,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,11,0,11,11,0,0,0,0,299.6983,798.7008,0.0,0.0,299.6983,798.7008,0,0,True,False,True,True,True,True,True,1,1,1,11,11,11,22,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",11.0,11.0,https://doi.org/10.1016/j.jallcom.2021.160128
10.1134_s0020168516030079__sample_18915,10.1134/s0020168516030079,,,18915,Na0.89CoO2,unknown,p,high,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.554883,0.446281,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,8625,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,14,16,A,Electrical conductivity,14,808.1042,,not checked,no,Na0.89CoO2 | unknown | Na0.89CoO2 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Na0.89CoO2 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Na0.89CoO2 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Na0.89CoO2 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,14,0,14,16,17,17,34,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,16,0,0,16,1,16,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,14,0,14,14,0,0,0,0,291.2518,1099.356,0.0,0.0,291.2518,1099.356,0,0,True,False,True,True,True,True,True,1,1,1,16,17,17,34,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",17.0,17.0,https://doi.org/10.1134/s0020168516030079
10.1002_adma.201400515__sample_7653,10.1002/adma.201400515,,,7653,Cu1.98S,unknown,p,high,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.393548,0.3569638,110,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence,no,,,,,,6018,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,False,,,,15,15,A,Electrical conductivity,15,707.9150999999999,,not checked,no,Cu1.98S | unknown | Cu1.98S | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Cu1.98S | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Cu1.98S | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Cu1.98S | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,15,0,15,15,13,12,25,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,15,0,0,15,1,15,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,15,0,15,15,0,0,0,0,299.0959,1007.011,0.0,0.0,299.0959,1007.011,0,0,True,False,True,True,True,True,True,1,1,1,15,13,12,25,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,13.0,https://doi.org/10.1002/adma.201400515
