review_group_key_step9,DOI,SID_list,paper_title,year,sample_count,initial_tau_fit_sample_count,learning_candidate_sample_count,max_review_priority_score_step9,max_zt_observed_step9,nanocarbon_sample_count,additive_keyword_sample_count,structure_keyword_sample_count,p_sample_count,n_sample_count,mixed_sample_count,unknown_sample_count,top_sample_keys,review_priority_tier_step9,paper_review_reason_step9,paper_checked_step9,doi_url
DOI:10.1063/1.2811936,10.1063/1.2811936,1952,,,7,7,7,125,1.29532,6,0,0,0,7,0,0,"10.1063_1.2811936__sample_3943, 10.1063_1.2811936__sample_3948, 10.1063_1.2811936__sample_3944, 10.1063_1.2811936__sample_3947, 10.1063_1.2811936__sample_3945, 10.1063_1.2811936__sample_3946, 10.1063_1.2811936__sample_3942",A,max score=125; samples=7,no,https://doi.org/10.1063/1.2811936
DOI:10.1063/1.4897146,10.1063/1.4897146,49804,,,3,3,3,120,1.0258,0,3,0,3,0,0,0,"10.1063_1.4897146__sample_84085, 10.1063_1.4897146__sample_84082, 10.1063_1.4897146__sample_84084",A,max score=120; samples=3,no,https://doi.org/10.1063/1.4897146
DOI:10.1021/acsami.9b12599,10.1021/acsami.9b12599,24122,,,6,6,6,110,1.086,0,0,0,0,6,0,0,"10.1021_acsami.9b12599__sample_83169, 10.1021_acsami.9b12599__sample_83167, 10.1021_acsami.9b12599__sample_83168, 10.1021_acsami.9b12599__sample_83170, 10.1021_acsami.9b12599__sample_83171, 10.1021_acsami.9b12599__sample_83172",A,max score=110; samples=6,no,https://doi.org/10.1021/acsami.9b12599
DOI:10.1109/ict.2005.1519880,10.1109/ict.2005.1519880,8900,,,1,1,1,110,1.637168,0,0,0,1,0,0,0,10.1109_ict.2005.1519880__sample_24217,A,max score=110; samples=1,no,https://doi.org/10.1109/ict.2005.1519880
DOI:10.1039/c5ta01667c,10.1039/c5ta01667c,2812,,,2,2,2,110,1.89418,0,0,0,2,0,0,0,"10.1039_c5ta01667c__sample_7223, 10.1039_c5ta01667c__sample_7224",A,max score=110; samples=2,no,https://doi.org/10.1039/c5ta01667c
DOI:10.1007/s11664-014-3466-x,10.1007/s11664-014-3466-x,10850,,,2,2,2,110,1.06649,0,1,2,2,0,0,0,"10.1007_s11664-014-3466-x__sample_7868, 10.1007_s11664-014-3466-x__sample_7867",A,max score=110; samples=2,no,https://doi.org/10.1007/s11664-014-3466-x
DOI:10.1039/c4ee02428a,10.1039/c4ee02428a,871,,,7,5,7,110,1.190178,0,0,0,5,0,2,0,"10.1039_c4ee02428a__sample_6759, 10.1039_c4ee02428a__sample_6754, 10.1039_c4ee02428a__sample_6758, 10.1039_c4ee02428a__sample_6757, 10.1039_c4ee02428a__sample_6753, 10.1039_c4ee02428a__sample_6752, 10.1039_c4ee02428a__sample_6756",A,max score=110; samples=7,no,https://doi.org/10.1039/c4ee02428a
DOI:10.1016/j.ssi.2020.115322,10.1016/j.ssi.2020.115322,27877,,,3,3,3,110,1.129217,0,0,0,3,0,0,0,"10.1016_j.ssi.2020.115322__sample_33268, 10.1016_j.ssi.2020.115322__sample_33269, 10.1016_j.ssi.2020.115322__sample_33267",A,max score=110; samples=3,no,https://doi.org/10.1016/j.ssi.2020.115322
DOI:10.1002/adma.201400515,10.1002/adma.201400515,6018,,,3,3,3,110,1.656774,0,0,0,3,0,0,0,"10.1002_adma.201400515__sample_7653, 10.1002_adma.201400515__sample_7654, 10.1002_adma.201400515__sample_7652",A,max score=110; samples=3,no,https://doi.org/10.1002/adma.201400515
DOI:10.1021/acsaem.7b00128,10.1021/acsaem.7b00128,38695,,,9,9,9,110,1.385326,0,0,0,0,9,0,0,"10.1021_acsaem.7b00128__sample_45662, 10.1021_acsaem.7b00128__sample_45663, 10.1021_acsaem.7b00128__sample_45664, 10.1021_acsaem.7b00128__sample_45665, 10.1021_acsaem.7b00128__sample_45682, 10.1021_acsaem.7b00128__sample_45684, 10.1021_acsaem.7b00128__sample_45723, 10.1021_acsaem.7b00128__sample_45724, 10.1021_acsaem.7b00128__sample_45725",A,max score=110; samples=9,no,https://doi.org/10.1021/acsaem.7b00128
